Gene	Cluster	F_value	P.anova	P.kruskal	Shaprio_wilks	adj.P
AANAT	4	5.24344436535828	0.00292730019307688	0.0214650324666087	0.0365846669630525	0.0252512865423287
ADCY1	3	5.31700572240897	0.00734946618953741	0.011637862185375	0.269613212768692	0.0252512865423287
ADIPOQ	7	3.57524163981011	0.00440902883990207	0.0486965389784651	0.0557897545426693	0.0252512865423287
ADORA1	9	2.99478251043441	0.0073527105468039	0.084098197639724	0.0231911439059149	0.0252512865423287
ADORA2A	12	2.1543792162282	0.0328318025926655	0.122022019502426	0.0224415328166512	0.0438780165490763
ADRB1	9	4.31544442464001	0.000964886888136529	0.0541168977988881	0.00528396805822078	0.021421189710993
AGRP	8	2.39633429226087	0.0325414439401222	0.153386911771938	0.0181317109734946	0.0438780165490763
AHR	4	3.65933117945015	0.0171299963617895	0.109730767536748	0.171527036434619	0.0331025605369716
ARNTL	12	1.77595261915419	0.0815255715110099	0.198745880253546	0.0893082731029866	0.0917965096541293
ARNTL2	12	2.26451684259756	0.0256279606832431	0.0687628612855244	0.000852861349857903	0.0400926905505841
ATF4	7	3.68696324312347	0.00371130576095387	0.0227144158081462	0.4431045287311	0.0252512865423287
ATF5	11	2.76880763441808	0.0113677544059738	0.0731017676557051	0.0089315641724453	0.0290283728581116
ATG7	11	2.36953976136252	0.0201221816392592	0.113217220482936	0.0177171274938212	0.0359683996801759
ATOH7	6	1.72897878415536	0.146472676249587	0.150304207678959	0.19509110323874	0.156310393311127
BHLHE40	10	2.85580895088532	0.00791914784713766	0.0471873576816826	0.0121329698899071	0.0252512865423287
BHLHE41	11	3.110661186138	0.00382989123951645	0.0682203620223458	0.0030187100345381	0.0252512865423287
BTBD9	10	2.63150887083609	0.0126229679496621	0.0959954632868622	0.0214830705598773	0.030084740280028
BTRC	9	3.09918230400363	0.00586145964567555	0.0528262289555884	0.0193502013090955	0.0252512865423287
CARTPT	11	2.23507034375632	0.0296845941416044	0.157941824651741	0.0530052249818948	0.0416166368847983
CAVIN3	9	2.84647380988713	0.011994802854237	0.0727256275825453	0.0329965434047601	0.0294626963754536
CCAR2	8	2.95010948575473	0.0111368060465714	0.0984098555213555	0.0680632216905285	0.0289556957210856
CDK1	8	3.15380212704909	0.00662326052735215	0.0568282293956993	0.0750366956907595	0.0252512865423287
CHRNB2	6	2.82769895504533	0.0238248604659004	0.0812936688797687	0.0451980008684202	0.0392920997139511
CIART	7	3.48578330549338	0.00634429765047937	0.0646866354750614	0.058659808239807	0.0252512865423287
CIPC	10	2.58157854566727	0.0149631075894409	0.117240975243353	0.020885793696972	0.030763212444285
CLDN4	11	1.3794125180916	0.219818914667074	0.323003723511152	0.00939119335260975	0.227783368097041
CLOCK	12	2.1135782498111	0.0340475108515282	0.162550237614548	0.0125142652235007	0.0442734233569255
CPT1A	8	3.09720561791141	0.00763350249477244	0.0483926851553092	0.269721294319449	0.0252512865423287
CREB1	12	2.50789210887396	0.0121559376653969	0.0933409250774137	0.00858360379577165	0.0294626963754536
CREM	12	0.878826207679639	0.565763364732165	0.389422076425973	0.0488159167442722	0.565763364732165
CRH	4	3.2613547531789	0.0289853610445475	0.0405236007382869	0.447012693399009	0.041449066293703
CRTC1	11	2.53741127741785	0.0144737569659008	0.0519975198368078	0.0186448646127846	0.030763212444285
CRY1	12	2.34841444931517	0.0187177284804618	0.095393120689793	0.0103804802329654	0.0338814578823549
CRY2	8	3.32141343981895	0.00484306002611301	0.0694811949284994	0.0408128238768396	0.0252512865423287
CSNK1D	12	2.5906705310188	0.0101223811763044	0.058004237292951	0.193174852565897	0.0289500101642305
CSNK1E	12	2.81704953249413	0.00562494166820409	0.0437704727396357	0.159112759414413	0.0252512865423287
DBP	12	1.91788094861086	0.0636359002515477	0.101226380525486	0.00809347532039227	0.0739832011054579
DRD2	10	2.55963395308354	0.0151484404768423	0.116988208013036	0.0328700652205279	0.030763212444285
DRD3	8	3.2481320118879	0.00561839512746142	0.0700990814321212	0.0421278178984787	0.0252512865423287
DRD4	6	3.81136758970921	0.00579665019881731	0.0595648797459479	0.298388449282118	0.0252512865423287
DYRK1A	12	2.22622368870322	0.0260224599051244	0.140990810727541	0.00989724652637407	0.0400926905505841
EGR1	7	3.70089126738145	0.00368039611414132	0.0454217404535537	0.0549232875211185	0.0252512865423287
EGR3	9	2.82166875144236	0.0110301256538112	0.0885685866461622	0.0467347647594776	0.0289556957210856
EP300	7	2.56749444649352	0.0279501716183376	0.0648812505098306	0.344036354441535	0.0407844340961456
EZH2	12	2.18389221066759	0.0293637543149252	0.117811406606886	0.0664783186305818	0.0415744244260823
F7	6	2.74293647099403	0.027389709622313	0.0592586898299761	0.401301750032924	0.0404190764015288
FBXL3	10	2.21947402166985	0.0349152104044152	0.0829136964960781	0.0105616388202264	0.0445792418556373
FBXW11	12	2.23659687735774	0.0253357035750186	0.130447210660353	0.013920192031922	0.0400926905505841
FBXW7	11	2.54866093635851	0.0128596550981258	0.100456408751581	0.0886873982822485	0.030146404574295
GFPT1	11	2.33204268603333	0.0223470015853345	0.120371569777445	0.0174395703149171	0.0380431098417004
GHRH	3	3.78007613969057	0.0284327533585387	0.0430305577559804	0.559253835240678	0.0410695326290004
GHRL	4	4.79445906141147	0.00499021457586668	0.0339745005106935	0.0929631651264135	0.0252512865423287
GNA11	12	2.30864004417309	0.02296084499031	0.0420604915590932	0.0118763066260977	0.038628245101345
GNAQ	12	2.02996812848724	0.0501502581133639	0.228633761068545	0.0012205568503589	0.0607753127983986
