Gene	K	P.K	Lambda	P.Lambda	I	P.I
ADORA2A	0.412309000755152	0.000499750124937531	0.942841594082979	0.000499750124937531	0.0469869036807194	0.031984007996002
ADRB1	0.351863095570583	0.00399800099950025	0.793372318910134	0.0126774911952604	0.0725548482556118	0.00499750124937531
ARNTL	0.318482888821548	0.000999500249875062	1.32103338155611	0.000499750124937531	0.0789393436921496	0.00449775112443778
ATF4	0.496151959276248	0.000499750124937531	1.00965207713137	0.000499750124937531	0.0662776333138443	0.0114942528735632
ATF5	0.412060366360982	0.000499750124937531	1.00209442802951	0.000499750124937531	0.0375743842793288	0.0704647676161919
BTRC	0.467302738531394	0.000499750124937531	1.07253072896482	0.000499750124937531	0.0904828069209846	0.000999500249875062
CARTPT	0.00365645733657294	0.300349825087456	1.62644536269901	0.000499750124937531	0.0584036732008339	0.031984007996002
CSNK1E	0.487320574924647	0.000499750124937531	1.61696361065745	0.000499750124937531	0.039652289674906	0.00749625187406297
EZH2	0.359389774230952	0.00199900049975013	1.19044030078055	0.000499750124937531	0.0401538471452008	0.0264867566216892
FBXW11	0.193504356082392	0.00649675162418791	1.26388517233472	0.000499750124937531	0.0551231110420626	0.0324837581209395
ID2	0.00461792896515018	0.106946526736632	2.07417974680177	0.000499750124937531	0.0576298760000346	0.0489755122438781
ID3	3.88084453702265e-13	0.0454772613693153	1.27341841197687	0.000499750124937531		0.000499750124937531
MAGEL2	0.291863826652716	0.000499750124937531	0.909786940377938	0.000499750124937531	0.127189818977195	0.00249875062468766
MTTP	0.489048637624622	0.000499750124937531	1.07884571831175	0.000499750124937531	0.0374994314665597	0.00849575212393803
PML	0.633076640601587	0.000499750124937531	1.03115150718948	0.000499750124937531	0.0813421723736101	0.00749625187406297
TOP1	0.0549920873961637	0.0079960019990005	1.2452312750143	0.000499750124937531	0.045602548647825	0.0454772613693153
TPH1	0.420910534497964	0.000499750124937531	1.0489608583396	0.000499750124937531	0.0635406947607923	0.00249875062468766
