Gene	Cluster	F_value	P.anova	P.kruskal	Shaprio_wilks	adj.P
AANAT	5	15.4642228469419	1.88561490542564e-07	0.000921639238927773	0.135491366910607	0.00880368854359463
ADCY1	7	10.0874935156239	1.33862711855722e-06	0.00688927449226498	0.553654980004721	0.0124704588910619
ADIPOQ	4	14.759135033262	1.28013804358571e-06	0.00387023044516436	0.172323382834481	0.00880368854359463
ADORA1	4	13.7463192979641	3.19287008912659e-06	0.0047640373827795	0.183462765680599	0.0093415318456224
ADORA2A	3	15.8630212534226	1.0592224380176e-05	0.011438942829411	0.143147560192841	0.0163576882460578
ADRB1	3	26.6199627381527	4.11281184158024e-07	0.00394150145471814	0.648872677112848	0.00880368854359463
AGRP	3	19.7774798168776	8.86700961211474e-07	0.00302843242466965	0.129711123558977	0.00880368854359463
AHR	4	14.6928066268676	1.21126300017373e-06	0.00413041180614128	0.12229776089704	0.00880368854359463
ARNTL	2	27.9871357814714	4.12900923799342e-06	0.0904319912298258	0.405855371737621	0.0949113985535021
ARNTL2	2	10.7764633681351	0.00229172848164129	0.00273004727678259	0.450194715476038	0.00880368854359463
ATF4	5	12.3174755111039	1.6167510328417e-06	0.00992841963262255	0.317303961301751	0.0151637863976695
ATF5	2	33.1046436815494	2.2173141547911e-06	0.0926006978206765	0.406615399804371	0.0952654661032859
ATG7	3	16.0182572698294	6.75880369452281e-06	0.00135945839663393	0.26111704819766	0.00880368854359463
ATOH7	3	18.041608432214	7.16887789269873e-06	0.00823541457015996	0.358623827241717	0.0135507500814783
BHLHE40	5	9.13448209814285	3.08692001431867e-05	0.0033743027047656	0.651593964675666	0.00880368854359463
BHLHE41	2	22.0391833746005	3.60930787598949e-05	0.091373936736446	0.272800766165122	0.0949113985535021
BTBD9	3	19.7774798168776	8.86700961211479e-07	0.00302843242466965	0.129711123558972	0.00880368854359463
BTRC	3	19.3502190416059	1.20816023491418e-06	0.00314040576338329	0.137633469571864	0.00880368854359463
CARTPT	4	12.2721948169033	8.51152252453049e-06	0.00948382165823416	0.132405148324175	0.0149442422209755
CAVIN3	2	24.8139371381477	1.59044140625412e-05	0.0915928181844985	0.127091122806472	0.0949113985535021
CCAR2	2	26.4389894177164	7.99637784533815e-06	0.0909689479753578	0.103422843050524	0.0949113985535021
CDK1	4	14.6928066268676	1.21126300017369e-06	0.00413041180614128	0.12229776089704	0.00880368854359463
CHRNB2	3	18.7714503730899	1.94811218241313e-06	0.00339328526943975	0.166825631201502	0.00880368854359463
CIART	4	3.45556414759615	0.0286732423771903	0.0892858896557193	0.302841929340905	0.0949113985535021
CIPC	4	15.7482604189798	7.28559957039572e-07	0.00824416263698332	0.221813736887742	0.0135507500814783
CLDN4	6	6.91019900801219	0.00016400412330344	0.087066151872337	0.141831333392078	0.0949113985535021
CLOCK	2	24.5243541523289	1.18360144710873e-05	0.0902692531325872	0.334143249166887	0.0949113985535021
CPT1A	4	16.9622501336483	2.91163847282343e-07	0.00392468604667938	0.219841233343728	0.00880368854359463
CREB1	3	16.0182572698293	6.75880369452315e-06	0.00135945839663393	0.261117048197672	0.00880368854359463
CREM	4	12.6534498528489	5.87428544685963e-06	0.0135579904283685	0.132327046213549	0.0188232294296767
CRH	3	15.0845014837065	1.74446548110071e-05	0.00166558047099111	0.299273464184591	0.00880368854359463
CRTC1	5	10.9696917103201	6.40644481410873e-06	0.0268508016663467	0.280930921665739	0.0352262810852072
CRY1	5	11.0415347853915	3.97155249315682e-06	0.00860750763345381	0.177191453257318	0.0139871999043624
CRY2	4	14.3343926800967	1.72509694410482e-06	0.00432336012927949	0.124700606573202	0.00883200712124238
CSNK1D	6	8.77575418896596	1.3275234735775e-05	0.0132878550639358	0.0639946825897257	0.0186290517072825
CSNK1E	7	7.41382202127321	2.94406849266553e-05	0.0283031335565669	0.0532130678826754	0.036794073623537
DBP	6	7.14261299125217	0.000166344632323141	0.171073403111874	0.286353917128343	0.17227814538731
DRD2	3	19.7774798168776	8.86700961211492e-07	0.00302843242466965	0.129711123558971	0.00880368854359463
DRD3	2	9.93479165073243	0.00298966149934095	0.00251910284534217	0.123055103217394	0.00880368854359463
DRD4	5	13.0466681225728	3.39583244305712e-06	0.00714374012419473	0.491532532849958	0.0127694354719981
DYRK1A	3	17.5989111811586	3.28923228153975e-06	0.00134010445864496	0.321511517831758	0.00880368854359463
EGR1	3	19.3502190416059	1.2081602349142e-06	0.00314040576338329	0.137633469571858	0.00880368854359463
EGR3	4	13.0750979406743	4.69316170141923e-06	0.0126369247132607	0.122406378895772	0.0178918835049137
EP300	3	15.6426255896392	8.94438173960709e-06	0.00142908956778993	0.22641509048039	0.00880368854359463
EZH2	5	9.57460669420418	1.8655879349066e-05	0.00496473021165946	0.651657569514481	0.0093415318456224
F7	3	17.3235905427272	4.13252349938087e-06	0.00141173144376273	0.449679645318837	0.00880368854359463
FBXL3	3	16.9416630816305	5.0641929511341e-06	0.0106944418652446	0.079857510416648	0.0154475271386866
FBXW11	5	14.5036374364548	2.10806696860121e-07	0.00353302015218454	0.216600330013475	0.00880368854359463
FBXW7	3	19.7774798168776	8.86700961211492e-07	0.00302843242466965	0.129711123558974	0.00880368854359463
GFPT1	3	19.7774798168775	8.86700961211509e-07	0.00302843242466965	0.129711123558972	0.00880368854359463
GHRH	3	6.6107096001217	0.00337062755108067	0.00424793363292328	0.190665367073534	0.00880368854359463
GHRL	2	6.25190379701235	0.0168379899164281	0.00950997232243894	0.236340056702959	0.0149442422209755
GNA11	4	10.7293280182695	3.5070896796033e-05	0.00484363795048227	0.366189885068739	0.0093415318456224
GNAQ	11	3.0433302875298	0.0131964156403198	0.065432717095865	0.395402488717071	0.0799733208949461
GSK3B	2	24.5243541523289	1.18360144710874e-05	0.0902692531325872	0.334143249166879	0.0949113985535021
HCRTR2	6	9.16096072104997	8.7673566060843e-06	0.0102281228137862	0.383226400551465	0.0151637863976695
HDAC1	3	20.0688619872248	1.01690527824298e-06	0.00299130529258046	0.178610625725511	0.00880368854359463
HDAC2	3	16.0182572698294	6.75880369452275e-06	0.00135945839663393	0.261117048197654	0.00880368854359463
HDAC3	3	22.3843908386863	3.77071445790166e-07	0.00310939971098086	0.125747305540613	0.00880368854359463
HEBP1	3	20.6250967768472	6.99377638070156e-07	0.0028825681542463	0.16597257293274	0.00880368854359463
HNRNPD	6	8.13123863781944	2.4873371013718e-05	0.0207517197668988	0.262886100454269	0.027733606791276
HNRNPU	3	19.3080972549827	1.23463916032406e-06	0.00314040576338329	0.126838074346231	0.00880368854359463
HTR7	2	23.5725529745815	1.78515751027269e-05	0.0906024670029109	0.404309424558687	0.0949113985535021
ID2	8	6.13162837724021	8.50541188472245e-05	0.0375533007638521	0.0737031638585506	0.0471063334143057
ID3	3	18.8802503548075	1.68274712985035e-06	0.00326165613464382	0.132380144783817	0.00880368854359463
ID4	3	13.2035894553386	6.12544540348878e-05	0.0852436499128973	0.851669742878937	0.0949113985535021
KCNA2	3	17.6171149668153	3.53979234618596e-06	0.00945605099479545	0.16813887380408	0.0149442422209755
KCNH7	3	16.0182572698294	6.75880369452275e-06	0.00135945839663393	0.261117048197647	0.00880368854359463
KDM5A	2	24.5243541523289	1.18360144710874e-05	0.0902692531325872	0.334143249166894	0.0949113985535021
KLF10	4	14.5366193678718	1.65877489723538e-06	0.00301748923273491	0.532446350456765	0.00880368854359463
KLF9	3	17.5900732072902	3.30473380569327e-06	0.00134010445864496	0.371399610314886	0.00880368854359463
LEP	2	25.5448361017416	1.192969927896e-05	0.091373936736446	0.138207049494536	0.0949113985535021
LGR4	7	10.2431786236865	9.80722224547506e-07	0.00670001263076164	0.342955658770975	0.0122833564897297
MAGEL2	4	12.3249887242708	2.55164013671568e-05	0.0393375242860368	0.317430394246873	0.0489153562861154
MAPK10	3	19.7774798168775	8.86700961211506e-07	0.00302843242466965	0.129711123558972	0.00880368854359463
MAPK8	4	10.6088237575723	2.71658188758737e-05	0.00408592603453717	0.279337276448083	0.00880368854359463
MAPK9	4	10.587583811001	3.15347535752277e-05	0.00268352158850536	0.434525490408215	0.00880368854359463
MC3R	3	17.1406177505409	6.46275002111486e-06	0.00136078116748476	0.656684986598844	0.00880368854359463
METTL3	4	13.1779756049499	4.35399817793987e-06	0.00824416263698332	0.285533343377224	0.0135507500814783
MTA1	3	15.8771779572824	9.72821162414573e-06	0.0340477936855622	0.0808375401176528	0.0434717365806732
MTNR1A	2	22.9842726572267	2.27593326223058e-05	0.0907812454629343	0.40429907878279	0.0949113985535021
MTNR1B	3	7.15054331520006	0.00255784526998749	0.0048900836230068	0.0668309729799796	0.0093415318456224
MTTP	3	22.3381784816033	2.74421879560161e-07	0.00314040576338329	0.162988207425066	0.00880368854359463
MYBBP1A	3	19.6165396226158	1.2724670987147e-06	0.00339328526943975	0.128729454918135	0.00880368854359463
NFIL3	6	6.34249752334785	0.000314537923467308	0.00237200122857222	0.721417828122125	0.00880368854359463
NGFR	6	11.2239746714712	1.08858261001296e-06	0.00805481936551699	0.249025771229955	0.0135507500814783
NKX2-1	4	16.5389906666846	5.59581559757792e-07	0.00403133773068979	0.413694709908303	0.00880368854359463
