Gene	K	P.K	Lambda	P.Lambda	I	P.I
AANAT	0.795413732517297	9.99900009999e-05	1.14026332034332	9.99900009999e-05	0.0656421210839798	0.0135986401359864
ADCY1	0.395001770889633	0.0010998900109989	1.05314642148623	9.99900009999e-05	0.0691529113876981	0.0240975902409759
ADIPOQ	0.502732918097203	9.99900009999e-05	1.10783011986272	9.99900009999e-05	0.0726111381492842	0.030996900309969
ADORA1	0.561958537938099	0.0001999800019998	0.971918529396424	9.99900009999e-05	0.0147597155025338	0.125887411258874
ADORA2A	0.568416459398069	9.99900009999e-05	0.976317096668756	9.99900009999e-05	0.0661243100051313	0.0428957104289571
ADRB1	0.355318460304125	0.0081991800819918	0.76555480658059	0.0962547768294008	0.123922364549273	0.0038996100389961
AGRP		9.99900009999e-05	0.955866299336955	9.99900009999e-05		9.99900009999e-05
AHR	0.567595145679304	9.99900009999e-05	1.0156078448056	9.99900009999e-05	0.0398573159492448	0.0680931906809319
ARNTL	0.519261601151205	9.99900009999e-05	0.971716961392629	9.99900009999e-05	0.0736656780785996	0.0153984601539846
ARNTL2	0.359630592903944	0.0085991400859914	0.837267344495644	0.23230225699707	0.0262903756419326	0.138486151384862
ATF4	0.660004458258158	9.99900009999e-05	1.01684789989205	9.99900009999e-05	0.083472524826013	0.0173982601739826
ATF5	0.540414958640414	0.0001999800019998	1.55381707321264	9.99900009999e-05	0.0426799095329082	0.1000899910009
ATG7	0.632714107659485	9.99900009999e-05	1.14132206137332	9.99900009999e-05	0.0267253347257898	0.0311968803119688
ATOH7	0.408100875698601	0.0007999200079992	0.89115729275232	0.00586468440149981	0.0342392185386969	0.106489351064894
BHLHE40	0.299301520726902	0.0018998100189981	0.749080778577937	0.0268204607203138	0.0697917688103601	0.0403959604039596
BHLHE41	0.373170746267193	9.99900009999e-05	1.13484817160735	9.99900009999e-05	0.0406400456616895	0.0480951904809519
BTBD9	0.458807514117816	9.99900009999e-05	1.01082787247876	9.99900009999e-05	0.0669267076924134	0.0224977502249775
BTRC	0.51611126188974	9.99900009999e-05	0.9862434844944	9.99900009999e-05	0.0904020945725565	0.0052994700529947
CARTPT	0.00202006258695122	0.348565143485651	1.21641499984055	9.99900009999e-05	0.0251445088316979	0.168183181681832
CAVIN3	0.643758921063761	0.0001999800019998	2.37076989601796	9.99900009999e-05	0.0644633744988487	0.0271972802719728
CCAR2	0.595315973770331	9.99900009999e-05	1.28267529889195	9.99900009999e-05	0.0657849797567792	0.0245975402459754
CDK1	0.23404293894595	0.0002999700029997	0.943424146969762	9.99900009999e-05	0.0682373924543918	0.048995100489951
CHRNB2	0.621231563361373	9.99900009999e-05	0.980077753460111	9.99900009999e-05	0.0395996615674157	0.0413958604139586
CIART	0.453123641064115	0.0005999400059994	1.18406284947558	9.99900009999e-05	0.0693054003912125	0.0506949305069493
