Gene	Cluster	purity_score	P.cochran	Estimate.cochran
AANAT	14	0.87552521	0.220046609	1.226404193
ADCY1	12	0.796474359	0.885094062	-0.144514684
ADIPOQ	9	0.802325581	0.215334748	-1.239029028
ADORA1	12	0.841463415	0.673100904	-0.421896036
ADORA2A	7	0.788888889	0.980820333	-0.024040464
ADRB1	6	0.828125	0.5515016	-0.595511522
AGRP	6	0.782608696	0.518631795	-0.645455889
AHR	2	0.28	0.37057088	-0.895404529
ARNTL	8	0.791666667	0.15313764	-1.428536
ARNTL2	5	0.8125	0.065304223	1.8431698
ATF4	4	0.787234043	0.421044199	0.804610989
ATF5	13	0.888888889	0.003416016	-2.927588666
ATG7	8	0.791666667	0.067367892	-1.829211757
ATOH7	11	0.838235294	0.701630893	0.383119863
BHLHE40	14	0.827564103	0.249552837	-1.151436178
BHLHE41	11	0.842105263	0.795857349	0.258712144
BTBD9	8	0.811111111	0.059483004	-1.884606354
BTRC	11	0.8375	0.33301941	-0.968049978
CARTPT	9	0.817073171	0.507736562	-0.662366196
CAVIN3	14	0.857487923	0.018733581	2.35079044
CCAR2	10	0.824324324	0.77880437	0.280877485
CDK1	8	0.811111111	0.389939573	-0.859726954
CHRNB2	13	0.864864865	0.709183499	0.372952901
CIART	10	0.839285714	0.213587763	1.243760389
CIPC	14	0.871428571	0.678131263	-0.415014535
CLDN4	2	0.7875	0.054127913	1.925811517
CLOCK	9	0.811111111	0.1393652	-1.478159092
CPT1A	6	0.79787234	0.114396796	-1.578735249
CREB1	11	0.825581395	0.081164501	-1.743968968
CREM	6	0.699404762	0.11308191	-1.584491521
CRH	10	0.842857143	0.334728472	0.964633383
CRTC1	4	0.79787234	0.126314527	-1.528798005
CRY1	14	0.829268293	0.605825158	-0.516041882
CRY2	11	0.8375	0.002252228	-3.054783796
CSNK1D	3	0.785714286	0.154299701	-1.424507206
CSNK1E	14	0.85	0.053264183	-1.932772873
DBP	7	0.824324324	0.011036109	-2.541553397
DRD2	11	0.78422619	0.19434392	1.29783535
DRD3	7	0.80952381	0.357073642	-0.920955535
DRD4	9	0.848484848	0.040469715	2.048922282
DYRK1A	10	0.825581395	0.521413794	0.641167605
EGR1	6	0.804878049	0.667102665	0.430127819
EGR3	7	0.777777778	0.442880648	-0.767337887
EP300	7	0.791666667	0.379191324	-0.879387284
EZH2	14	0.829268293	0.225131167	-1.212996479
F7	13	0.89658444	0.97088019	-0.036504376
FBXL3	11	0.817073171	0.772427468	-0.289201129
FBXW11	3	0.775510204	0.15596874	1.418760885
FBXW7	10	0.825581395	0.061784698	-1.867837691
GFPT1	11	0.813953488	0.08948496	-1.698120823
GHRH	7	0.804878049	0.380688887	0.876627702
GHRL	4	0.773809524	0.11375249	1.581549326
