Gene	Cluster	purity_score	P.fisher	Estimate.fisher	P.cochran	Estimate.cochran	P.merge.cochran	E.merge.cochran	DiffChange	FDR
AANAT	3	0.833333333333333	0.542682926829268	3.71347252418166	0.958596006028149	0.0519155221992568	0.168365604697798	-1.37747446344239	0.509009009009009	
ADCY1	6	0.825	0.547145877378435	3.49395296480631	0.585085428269065	-0.545971645166252	0.182559173856361	-1.33291660154215	0.252631578947368	
ADIPOQ	3	0.82051282051282	0.549456357595893	3.36611792844155	0.905941486801484	-0.118159238253478	0.191063014045694	-1.30744090092123	0.50801282051282	
ADORA1	4	0.842105263157895	0.275099262620533	4.00680047833985	0.244141205319201	-1.16469813219153	0.151943361122839	-1.43270079882276	0.508771929824562	
ADORA2A	6	0.837837837837838	0.137266023823029	5.74230759126429	0.510105264212321	0.658673794714473	0.0523521726505468	-1.94022647247139	0.171171171171171	
ADRB1	3	0.769230769230769	0.599555061179088	2.24751735009885	0.680516728056545	0.41175810978451	0.290275486723198	-1.05751746806673	0.269230769230769	
AGRP	4	0.833333333333333	0.543340380549683	3.73265802183446	0.935229183540561	0.081267545490128	0.167546277488617	-1.38013111868471	0.508333333333333	
AHR	5	0.829268292682927	0.54532279314888	3.62187542128682	0.699987516566848	0.385337317794225	0.174494245463354	-1.35790369283848	0.507839721254356	
ARNTL	2	0.317073170731707	1	1.66708490685273	0.44189904099461	0.768990347043547				
ARNTL2	6	0.819444444444445	0.549718574108818	3.32314258007417	0.897577698583542	0.128721909220218	0.193799867707068	-1.29941989498855	0.508633633633634	
ATF4	4	0.824324324324324	0.283688517948302	5.14755673635287	0.50594857067365	-0.665159360446741	0.0662740588016421	-1.83656553734763	0.516632016632016	
ATF5	8	0.909090909090909	0.000147222403978277	33.0338859507901	0.614847029024121	-0.503166765335724	2.78464818616319e-05	-4.19039861581694	0.126482213438735	
ATG7	5	0.829268292682927	0.54532279314888	3.62187542128682	0.524161622637465	0.636943536976459	0.174494245463354	-1.35790369283848	0.507839721254356	
