Gene	Cluster	P_Value
AANAT	3	0.534373281335933
ADCY1	6	0.774461276936153
ADIPOQ	3	0.579021048947553
ADORA1	4	0.696015199240038
ADORA2A	6	0.660566971651417
ADRB1	3	0.888105594720264
AGRP	4	0.652517374131293
AHR	5	0.822908854557272
ARNTL	2	1
ARNTL2	6	0.44192790360482
ATF4	4	0.268286585670716
ATF5	8	0.000449977501124944
ATG7	5	0.806009699515024
ATOH7	5	0.816009199540023
BHLHE40	2	1
BHLHE41	3	0.489625518724064
BTBD9	4	0.727213639318034
BTRC	3	0.525623718814059
CARTPT	7	0.0190490475476226
CAVIN3	3	0.573371331433428
CCAR2	3	0.180490975451227
CDK1	6	0.588670566471676
CHRNB2	3	0.694115294235288
CIART	3	0.620618969051547
CIPC	3	0.51782410879456
CLDN4	6	0.932503374831258
CLOCK	4	0.737513124343783
CPT1A	5	0.83700814959252
CREB1	2	1
CREM	5	0.813959302034898
CRH	3	0.584220788960552
CRTC1	6	0.874956252187391
CRY1	5	0.815909204539773
CRY2	3	0.578921053947303
CSNK1D	6	0.896955152242388
CSNK1E	6	0.607269636518174
DBP	5	0.825008749562522
DRD2	5	0.485375731213439
DRD3	4	0.657417129143543
DRD4	5	0.668316584170792
DYRK1A	5	0.83730813459327
EGR1	3	0.106844657767112
EGR3	2	1
EP300	5	0.812359382030899
EZH2	6	0.619469026548673
F7	4	0.729713514324284
FBXL3	7	0.375631218439078
FBXW11	5	0.833608319584021
FBXW7	5	0.810159492025399
GFPT1	6	0.675316234188291
GHRH	4	0.688865556722164
GHRL	3	0.587370631468427
GNA11	6	0.932453377331133
GNAQ	5	0.483325833708315
GSK3B	2	1
HCRTR2	5	0.792760361981901
HDAC1	13	0.00174991250437478
HDAC2	5	0.48327583620819
HDAC3	3	0.593470326483676
HEBP1	3	0.139643017849108
HNRNPD	3	0.552422378881056
HNRNPU	5	0.504724763761812
HTR7	6	0.107344632768362
ID2	2	1
ID3	5	0.783260836958152
ID4	4	0.76181190940453
KCNA2	4	0.235638218089096
KCNH7	5	0.814559272036398
KDM5A	10	0.128543572821359
KLF10	3	0.493875306234688
KLF9	5	0.791260436978151
LEP	3	0.104794760261987
LGR4	7	0.75821208939553
MAGEL2	5	0.765461726913654
MAPK10	5	0.818609069546523
MAPK8	2	1
MAPK9	6	0.943902804859757
MC3R	4	0.805759712014399
METTL3	7	0.677966101694915
MTA1	5	0.791210439478026
MTNR1A	2	0.395230238488076
MTNR1B	5	0.710064496775161
MTTP	5	0.835508224588771
MYBBP1A	5	0.420878956052197
NFIL3	9	0.0298985050747463
NGFR	3	0.497025148742563
NKX2-1	5	0.804509774511275
NLGN1	6	0.879106044697765
NOCT	2	1
NOS2	5	0.48377581120944
NPAS2	4	0.290885455727214
NPS	2	0.377981100944953
NPSR1	4	0.714264286785661
NR1D1	2	1
NR1D2	2	1
NR1H3	5	0.833958302084896
NR2F6	7	0.348582570871456
NR3C1	5	0.817209139543023
NRIP1	4	0.338233088345583
NTRK1	5	0.191640417979101
OGT	5	0.411829408529574
OPN3	5	0.784260786960652
OPN4	6	0.537873106344683
OPN5	2	1
PARP1	5	0.8033598320084
PAX4	4	0.0527473626318684
PER1	4	0.711814409279536
PER2	5	0.83800809959502
PER3	5	0.876706164691765
PHLPP1	6	0.154942252887356
PML	2	0.224188790560472
PPARA	5	0.856657167141643
PPARG	5	0.877906104694765
PPARGC1A	5	0.832408379581021
PPP1CA	4	0.746312684365782
PPP1CB	2	1
PPP1CC	3	0.362381880905955
PRKAA1	5	0.825008749562522
PRKAA2	7	0.184040797960102
PRKCG	5	0.819459027048648
SERPINE1	3	0.744412779361032
SFPQ	2	1
SIAH2	7	0.947052647367632
SIK1	6	0.940852957352132
SIN3A	5	0.830408479576021
SIRT1	5	0.788360581970902
SLC6A4	4	0.666316684165792
SOX14	5	0.805309734513274
SPSB4	3	0.629818509074546
SREBF1	3	0.529073546322684
SUV39H2	2	1
TH	3	0.508074596270187
THRAP3	5	0.503074846257687
TIMELESS	6	0.631568421578921
TNFRSF11A	9	0.0525473726313684
TOP1	4	0.745362731863407
TOP2A	3	0.647517624118794
TP53	5	0.797810109494525
TPH1	5	0.832008399580021
TYMS	4	0.735313234338283
UBE3A	4	0.757962101894905
USP2	4	0.366881655917204
USP7	5	0.825058747062647
