Gene	P	logFC	LowNREM_VS_HighNREM	FDR
ADIPOQ	0.000197517368039656	3.30943393172625	Low NREM Associated	0.00750565998550691
CRY1	2.59532043199849e-10	-2.3449864625413	High NREM Associated	2.02434993695882e-08
CRY2	1.46619111054545e-17	-3.33048456438115	High NREM Associated	1.62747213270545e-15
AHR	1.2325663899397e-59	6.00498262946025	Low NREM Associated	1.95978056000412e-57
AANAT	0.674051461643675	0.401656508637987	Low NREM Associated	1
NPAS2	6.76571197679497e-23	7.73725412913999	Low NREM Associated	8.32182573145781e-21
CLOCK	0.000701771420317957	-1.23464569435903	High NREM Associated	0.0227877706198825
PER3	3.32508025924279e-14	2.10122600558599	Low NREM Associated	3.19207704887308e-12
TIMELESS	7.22510995195013e-15	3.80025433455645	Low NREM Associated	7.22510995195013e-13
ADORA2A	7.55647218854582e-35	-4.15053663440546	High NREM Associated	1.11835788390478e-32
MTA1	1.11643953381041e-32	5.42664748868433	Low NREM Associated	1.58534413801078e-30
PTGDS	0.000559347520192357	3.21967713013402	Low NREM Associated	0.0195771632067325
PER1	1.11704713255965e-22	2.05386106246035	Low NREM Associated	1.35162703039718e-20
PER2	5.16338371815717e-09	-2.4955962997161	High NREM Associated	3.61436860271002e-07
TP53	2.40280168139151e-31	4.05213749015711	Low NREM Associated	3.3398943371342e-29
ATG7	6.20309686915171e-05	1.50923073159579	Low NREM Associated	0.00260530068504372
ADRB1	5.50689814348882e-19	-8.36047028881478	High NREM Associated	6.33293286501214e-17
BTBD9	2.99234997710067e-11	2.53011670927583	Low NREM Associated	2.51357398076456e-09
HCRTR2	4.05584063581573e-19	7.44959438245516	Low NREM Associated	4.70477513754625e-17
RAI1	2.32910816188239e-46	6.96313023519396	Low NREM Associated	3.56353548768005e-44
CREB1	1.63804146782375e-23	3.93345381522314	Low NREM Associated	2.04755183477969e-21
ADCY1	3.28794787037417e-14	7.36090612632178	Low NREM Associated	3.18930943426295e-12
ADORA1	5.84160322021679e-30	10.0550997914053	Low NREM Associated	7.94458037949484e-28
AGRP	0.490405888446902	0.713088566757669	Low NREM Associated	1
ATF4	3.50267013090689e-11	-2.90107775429781	High NREM Associated	2.90721620865272e-09
ATF5	0.182630645407327	0.354320214737828	Low NREM Associated	1
ATOH7	9.90516583297718e-07	6.20118386777148	Low NREM Associated	5.94309949978631e-05
CARTPT	2.825511161527e-08	5.66178049107171	Low NREM Associated	1.89309247822309e-06
CAVIN3	5.25259393903631e-16	2.73568345939728	Low NREM Associated	5.56774957537849e-14
CCAR2	6.48345375363135e-10	1.5186559449391	Low NREM Associated	4.92742485275983e-08
CHRNB2	1.9790687226915e-09	-6.63306491193578	High NREM Associated	1.46451085479171e-07
CIPC	0.340349615682601	-0.340681207239021	High NREM Associated	1
CLDN4	3.46277894660576e-32	8.39861187486763	Low NREM Associated	4.88251831471412e-30
CPT1A	0.000852676207728623	1.11158747121544	Low NREM Associated	0.0255802862318587
CREM	1.60888419518591e-05	-1.68853203494848	High NREM Associated	0.000788353255641095
CRH	2.46390748963471e-13	7.67313602754176	Low NREM Associated	2.26679489046394e-11
CRTC1	2.00813707733663e-15	4.26448386260783	Low NREM Associated	2.0884625604301e-13
DRD2	1.34321521251354e-10	7.28474634597227	Low NREM Associated	1.08800432213597e-08
DRD3	4.20496804049859e-25	8.78020102726895	Low NREM Associated	5.42440877224318e-23
DRD4	0.164384016340742	1.73389842620074	Low NREM Associated	1
EGR1	0.000131018907120764	-3.39503045462447	High NREM Associated	0.00537177519195134
EGR3	2.77871690332341e-15	7.01640147252576	Low NREM Associated	2.83429124138987e-13
EP300	8.40555622294412e-06	-1.83723307717698	High NREM Associated	0.000437088923593094
EZH2	4.3445727786088e-61	6.50238282107822	Low NREM Associated	6.95131644577408e-59
F7	7.9707479464408e-09	5.99048032673782	Low NREM Associated	5.49981608304415e-07
FBXW11	0.142586113283859	0.540853128944493	Low NREM Associated	1
GFPT1	1.21800040003033e-25	-3.0740886926681	High NREM Associated	1.58340052003943e-23
GHRH	2.99579359086895e-05	4.7315102298348	Low NREM Associated	0.00131814917998234
GHRL	0.000155521676652695	2.4286141131405	Low NREM Associated	0.00606534538945511
GNA11	1.84739135445412e-06	-2.47817979828114	High NREM Associated	0.000107148698558339
GNAQ	3.05311065204707e-22	-1.9432607741932	High NREM Associated	3.63320167593601e-20
HDAC1	7.55061952960024e-30	5.86148415337555	Low NREM Associated	1.01933363649603e-27
HDAC2	0.00408116109973868	1.02305783199578	Low NREM Associated	0.0979478663937283
