	Run	BioProject	Tissue	Sex	Species	Total sleep time per day (hr)	Platform	Instrument	LibrarySelection	Type
7	SRR13705738	PRJNA701734	blood		Arabian camel	1.7	ILLUMINA	Illumina HiSeq 4000	RANDOM	short sleep
8	SRR13705739	PRJNA701734	blood		Arabian camel	1.7	ILLUMINA	Illumina HiSeq 4000	RANDOM	short sleep
9	SRR13705740	PRJNA701734	blood		Arabian camel	1.7	ILLUMINA	Illumina HiSeq 4000	RANDOM	short sleep
10	SRR13705741	PRJNA701734	blood		Arabian camel	1.7	ILLUMINA	Illumina HiSeq 4000	RANDOM	short sleep
11	SRR13705742	PRJNA701734	blood		Arabian camel	1.7	ILLUMINA	Illumina HiSeq 4000	RANDOM	short sleep
12	SRR13705743	PRJNA701734	blood		Arabian camel	1.7	ILLUMINA	Illumina HiSeq 4000	RANDOM	short sleep
13	SRR13705744	PRJNA701734	blood		Arabian camel	1.7	ILLUMINA	Illumina HiSeq 4000	RANDOM	short sleep
14	SRR13705745	PRJNA701734	blood		Arabian camel	1.7	ILLUMINA	Illumina HiSeq 4000	RANDOM	short sleep
15	SRR13705746	PRJNA701734	blood		Arabian camel	1.7	ILLUMINA	Illumina HiSeq 4000	RANDOM	short sleep
16	SRR13705747	PRJNA701734	blood		Arabian camel	1.7	ILLUMINA	Illumina HiSeq 4000	RANDOM	short sleep
17	SRR13705748	PRJNA701734	blood		Arabian camel	1.7	ILLUMINA	Illumina HiSeq 4000	RANDOM	short sleep
194	SRR20210898	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep
195	SRR20210899	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep
196	SRR20210900	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep
197	SRR20210901	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep
198	SRR20210902	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep
199	SRR20210903	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep
200	SRR20210904	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep
201	SRR20210905	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep
202	SRR20210906	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep
203	SRR20210907	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep
204	SRR20210908	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep
205	SRR20210909	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep
206	SRR20210910	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep
207	SRR20210911	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep
208	SRR20210912	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep
240	SRR17278628	PRJNA790829	blood		Dog	0.712871287	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
241	SRR17278629	PRJNA790829	blood		Dog	0.712871287	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
