Gene	P	logFC	LowNREM_VS_HighNREM	FDR
ADIPOQ	1.0024135260144e-15	-8.60929781115216	Sleep More than twice Associated	1.34323412485929e-13
CRY1	0.000685559026250472	-1.22483233898496	Sleep More than twice Associated	0.0569013991787892
CRY2	1.71281342471625e-05	1.63545743610534	Sleep Once Associated	0.00161004461923327
AHR	3.49033521039176e-32	-4.07588836987181	Sleep More than twice Associated	5.37511622400332e-30
AANAT	0.493676997367649	-0.731656007723094	Sleep More than twice Associated	1
NPAS2	0.00212021442189329	-2.06602072860252	Sleep More than twice Associated	0.16113629606389
CLOCK	3.98002062572706e-08	-2.5550371211212	Sleep More than twice Associated	4.29842227578522e-06
PER3	7.26098231550134e-22	-4.90040171355813	Sleep More than twice Associated	1.0746253826942e-19
TIMELESS	0.0107768332585578	-1.1230582181856	Sleep More than twice Associated	0.689717328547701
ADORA2A	0.173786268463233	-0.673164665082541	Sleep More than twice Associated	1
MTA1	0.463733235829402	-0.288383304311541	Sleep More than twice Associated	1
PTGDS	2.25546479343439e-12	10.5302019143081	Sleep Once Associated	2.88699493559602e-10
PER1	2.95012335829764e-12	-2.45993794903712	Sleep More than twice Associated	3.746656665038e-10
PER2	0.0301624850862978	1.13487213093488	Sleep Once Associated	1
TP53	2.871519164769e-13	-2.21096812790625	Sleep More than twice Associated	3.70425972255201e-11
ATG7	0.104670500738779	-0.584401000239103	Sleep More than twice Associated	1
ADRB1	3.70785233082885e-16	-9.95677196510817	Sleep More than twice Associated	5.04267916992724e-14
BTBD9	0.229192020474151	-0.437517715172874	Sleep More than twice Associated	1
HCRTR2	1	-8.45754773260087e-16	Sleep More than twice Associated	1
RAI1	0.632642912573195	0.182509314798953	Sleep Once Associated	1
CREB1	2.84467654437381e-07	-1.88547447124639	Sleep More than twice Associated	3.01535713703623e-05
ADCY1	1.43640528161357e-06	-3.41084542602996	Sleep More than twice Associated	0.000145076933442971
ADORA1	5.95144695181342e-16	5.13542247637836	Sleep Once Associated	8.03445338494812e-14
AGRP	0.0634562149145437	-2.03062366218035	Sleep More than twice Associated	1
ATF4	5.96298199346382e-05	-1.71564963906754	Sleep More than twice Associated	0.00548594343398672
ATF5	0.717288097641863	0.162579844075061	Sleep Once Associated	1
ATOH7	0.0655321373584702	1.76193685118602	Sleep Once Associated	1
CARTPT	0.315145889362196	-0.947351012441788	Sleep More than twice Associated	1
CAVIN3	0.370399120074927	-0.647031224330715	Sleep More than twice Associated	1
CCAR2	7.9063753139523e-05	-1.63781914509415	Sleep More than twice Associated	0.00711573778255707
CHRNB2	0.708449483410929	0.339506692280323	Sleep Once Associated	1
CIPC	0.193291637323948	0.464414316525925	Sleep Once Associated	1
CLDN4	0.167921065272299	1.71257562306087	Sleep Once Associated	1
CPT1A	1.30627188249649e-06	-1.5567902093718	Sleep More than twice Associated	0.000134546003897138
CREM	2.65125050465622e-06	-1.83023293425292	Sleep More than twice Associated	0.000262473799960966
CRH	0.999999999999998	1.83792848623807e-15	Sleep Once Associated	1
CRTC1	0.786873819134693	0.132977762632425	Sleep Once Associated	1
DRD2	0.119717353016012	1.49533472705373	Sleep Once Associated	1
DRD3	2.81009068478584e-06	3.91452801044048	Sleep Once Associated	0.000275388887109013
DRD4	0.0313054585048076	3.63057694023027	Sleep Once Associated	1
EGR1	1.40519852461443e-30	-7.12618361940501	Sleep More than twice Associated	2.14995374266007e-28
EGR3	2.53262930144355e-08	-3.88853735331323	Sleep More than twice Associated	2.81121852460235e-06
EP300	1.00256279953283e-09	-3.29336242860846	Sleep More than twice Associated	1.18302410344874e-07
EZH2	2.57368719851851e-23	-3.19057450606493	Sleep More than twice Associated	3.83479392579257e-21
F7	0.000311196528916316	3.20643770865749	Sleep Once Associated	0.0268155407451213
FBXW11	0.0777721523062693	-0.653085429080748	Sleep More than twice Associated	1
GFPT1	6.72987063097607e-18	-2.64354998539073	Sleep More than twice Associated	9.35452017705673e-16
GHRH	1.38980508217148e-06	-5.36267938324292	Sleep More than twice Associated	0.000141760118381491
GHRL	0.0101683530699337	-2.14539775563997	Sleep More than twice Associated	0.660942949545689
GNA11	2.21869142553557e-08	-3.79121010100668	Sleep More than twice Associated	2.48493439659984e-06
GNAQ	0.00962805941834208	1.09339410771347	Sleep Once Associated	0.635451921610577
HDAC1	0.889391439860271	-0.0396411750823261	Sleep More than twice Associated	1
HDAC2	5.40175392842532e-24	-3.83131767909378	Sleep More than twice Associated	8.10263089263797e-22
HDAC3	1.24355608491332e-11	1.01680844727653	Sleep Once Associated	1.56688066699078e-09
HEBP1	0.00273732384333217	-3.3574659992277	Sleep More than twice Associated	0.199824640563249
HNRNPD	6.79922384721334e-123	7.50889047428268	Sleep Once Associated	1.10827348709577e-120
HNRNPU	7.77951752821211e-22	-3.0442111236286	Sleep More than twice Associated	1.14358907664718e-19
HTR7	0.179828728542284	-1.23760868275751	Sleep More than twice Associated	1
ID2	0.0565117090487046	-0.555680820558131	Sleep More than twice Associated	1
ID4	0.451162623627308	-0.919930535191108	Sleep More than twice Associated	1
KCNA2	0.0167504204157936	-1.71792148690069	Sleep More than twice Associated	1
KCNH7	3.88176530293489e-15	5.25176713000187	Sleep Once Associated	5.12393019987406e-13
KDM5A	0.651411920911536	-0.170729080305158	Sleep More than twice Associated	1
KLF10	3.82072234205278e-11	-2.14717643851022	Sleep More than twice Associated	4.69948848072492e-09
KLF9	0.00251510301481113	-1.94601997448045	Sleep More than twice Associated	0.188632726110835
KMT2A	1.72114505434732e-19	-3.05898224578045	Sleep More than twice Associated	2.4440259771732e-17
LEP	1.07465970579707e-19	7.23386208823941	Sleep Once Associated	1.5367633792898e-17
LGR4	4.20984283311115e-21	-6.42477200818	Sleep More than twice Associated	6.10427210801117e-19
MAGEL2	4.01976906236956e-28	-7.83759281875451	Sleep More than twice Associated	6.06985128417803e-26
MAPK10	0.00155010802862831	-2.77781220886418	Sleep More than twice Associated	0.124008642290264
MAPK8	6.2773707052869e-09	-2.07443873803228	Sleep More than twice Associated	7.21897631107993e-07
MAPK9	1.0328175399387e-17	-3.22093082905325	Sleep More than twice Associated	1.4252882051154e-15
MC3R	1	2.09584762816668e-16	Sleep Once Associated	1
METTL3	0.000432679586015642	1.65486719788151	Sleep Once Associated	0.0367777648113296
MTNR1A	0.999999999999999	-1.62861748361339e-15	Sleep More than twice Associated	1
MTNR1B	0.978053998078888	-0.0301192242973313	Sleep More than twice Associated	1
MTTP	0.509031069714701	0.672156535558415	Sleep Once Associated	1
MYCBP2	3.25355646514397e-99	-3.42914803209823	Sleep More than twice Associated	5.2382259088818e-97
NAMPT	8.42440230514478e-97	14.6022513762754	Sleep Once Associated	1.34790436882317e-94
