Gene	P	logFC	LowNREM_VS_HighNREM	FDR
ADIPOQ	7.78561570786053e-05	-3.18053832489643	Sleep at Daytime Associated	0.00420423248224469
CRY1	0.000166350183415071	1.07281969462911	Sleep at Night Associated	0.0084838593541686
CRY2	8.46649865450726e-36	4.05870190332772	Sleep at Night Associated	1.03291283584989e-33
AHR	1.52783652922741e-136	-9.11634174273731	Sleep at Daytime Associated	2.42926008147158e-134
AANAT	0.643745924020811	-0.401656508637985	Sleep at Daytime Associated	1
NPAS2	6.07221333042201e-27	-7.31914618146991	Sleep at Daytime Associated	6.98304532998531e-25
CLOCK	0.00684159586716954	0.9675551264338	Sleep at Night Associated	0.280505430553951
PER3	6.66095024613758e-31	-4.90040171355812	Sleep at Daytime Associated	7.9931402953651e-29
TIMELESS	2.44159827461818e-23	-3.64603253905253	Sleep at Daytime Associated	2.66134211933381e-21
ADORA2A	0.111990554242544	-0.673164665082541	Sleep at Daytime Associated	1
MTA1	4.18243081521084e-36	-4.3111377754672	Sleep at Daytime Associated	5.14438990270934e-34
PTGDS	0.0590402844394389	2.48142542687763	Sleep at Night Associated	1
PER1	1.79045651798309e-15	-2.45993794903712	Sleep at Daytime Associated	1.64721999654445e-13
PER2	1.84405739837644e-23	4.43875789861503	Sleep at Night Associated	2.02846313821408e-21
TP53	8.88237735755794e-92	-6.42678381740328	Sleep at Daytime Associated	1.38565086777904e-89
ATG7	9.86494956953374e-20	-2.82131968854439	Sleep at Daytime Associated	1.02595475523151e-17
ADRB1	3.88012743992448e-27	8.36047028881478	Sleep at Night Associated	4.5009478303124e-25
BTBD9	4.38525609419107e-12	-2.04348241603922	Sleep at Daytime Associated	3.6836151191205e-10
HCRTR2	1	2.84765217274158e-16	Sleep at Night Associated	1
RAI1	7.966811759348e-47	-5.166421610391	Sleep at Daytime Associated	1.01975190519654e-44
CREB1	2.62330316528656e-69	-6.00126630350377	Sleep at Daytime Associated	3.75132352635978e-67
ADCY1	2.87623712530909e-06	-3.59282429217456	Sleep at Daytime Associated	0.000184079176019782
ADORA1	0.682888047296557	0.262267020677748	Sleep at Night Associated	1
AGRP	0.000412755207771396	-3.18228955512259	Sleep at Daytime Associated	0.019812249973027
ATF4	0.422105977864946	0.266776077199093	Sleep at Night Associated	1
