	Run	BioProject	Tissue	Sex	Species	Total sleep time per day (hr)	Platform	Instrument	LibrarySelection	Type	Sleep_Times	Sleep_Timing
1	SRR6307194	PRJNA419061	blood		African elephant	3.3	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	More than two	Sleep at daytime
2	SRR6307195	PRJNA419061	blood		African elephant	3.3	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	More than two	Sleep at daytime
3	SRR6307196	PRJNA419061	blood		African elephant	3.3	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	More than two	Sleep at daytime
5	SRR6307199	PRJNA419061	blood		African elephant	3.3	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	More than two	Sleep at daytime
6	SRR6307204	PRJNA419061	blood		African elephant	3.3	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	More than two	Sleep at daytime
7	SRR13705738	PRJNA701734	blood		Arabian camel	1.7	ILLUMINA	Illumina HiSeq 4000	RANDOM	short sleep	More than two	Sleep at night
8	SRR13705739	PRJNA701734	blood		Arabian camel	1.7	ILLUMINA	Illumina HiSeq 4000	RANDOM	short sleep	More than two	Sleep at night
9	SRR13705740	PRJNA701734	blood		Arabian camel	1.7	ILLUMINA	Illumina HiSeq 4000	RANDOM	short sleep	More than two	Sleep at night
10	SRR13705741	PRJNA701734	blood		Arabian camel	1.7	ILLUMINA	Illumina HiSeq 4000	RANDOM	short sleep	More than two	Sleep at night
11	SRR13705742	PRJNA701734	blood		Arabian camel	1.7	ILLUMINA	Illumina HiSeq 4000	RANDOM	short sleep	More than two	Sleep at night
12	SRR13705743	PRJNA701734	blood		Arabian camel	1.7	ILLUMINA	Illumina HiSeq 4000	RANDOM	short sleep	More than two	Sleep at night
13	SRR13705744	PRJNA701734	blood		Arabian camel	1.7	ILLUMINA	Illumina HiSeq 4000	RANDOM	short sleep	More than two	Sleep at night
14	SRR13705745	PRJNA701734	blood		Arabian camel	1.7	ILLUMINA	Illumina HiSeq 4000	RANDOM	short sleep	More than two	Sleep at night
15	SRR13705746	PRJNA701734	blood		Arabian camel	1.7	ILLUMINA	Illumina HiSeq 4000	RANDOM	short sleep	More than two	Sleep at night
16	SRR13705747	PRJNA701734	blood		Arabian camel	1.7	ILLUMINA	Illumina HiSeq 4000	RANDOM	short sleep	More than two	Sleep at night
17	SRR13705748	PRJNA701734	blood		Arabian camel	1.7	ILLUMINA	Illumina HiSeq 4000	RANDOM	short sleep	More than two	Sleep at night
19	SRR10677982	PRJNA595370	blood	female	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep	More than two	Sleep at daytime
20	SRR10677983	PRJNA595370	blood	female	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep	More than two	Sleep at daytime
21	SRR10677984	PRJNA595370	blood	female	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep	More than two	Sleep at daytime
22	SRR10677985	PRJNA595370	blood	female	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep	More than two	Sleep at daytime
23	SRR10677986	PRJNA595370	blood	male	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep	More than two	Sleep at daytime
24	SRR10677987	PRJNA595370	blood	male	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep	More than two	Sleep at daytime
25	SRR10677988	PRJNA595370	blood	male	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep	More than two	Sleep at daytime
26	SRR10677989	PRJNA595370	blood	male	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep	More than two	Sleep at daytime
27	SRR10677990	PRJNA595370	blood	female	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep	More than two	Sleep at daytime
