	Gene	P	logFC	high.Control_vs_low	P.adj	color	size	category
1	ADIPOQ	7.86481740143055e-32	-2.65196271903829	Down-Regulated	1.28196523643318e-29	Down-Regulated	3	Down-Regulated
2	CRY1	1.08216545666915e-62	-5.35340473488264	Down-Regulated	1.76392969437072e-60	Down-Regulated	3	Down-Regulated
3	CRY2	1.47376550086315e-46	3.3835010935733	Up-Regulated	2.40223776640694e-44	Up-Regulated	3	Up-Regulated
4	AHR	2.25540164233865e-40	-5.45026451350223	Down-Regulated	3.67630467701199e-38	Down-Regulated	3	Down-Regulated
5	AANAT	6.23172034731401e-18	2.08097153621873	Up-Regulated	1.01577041661218e-15	Up-Regulated	3	Up-Regulated
6	NPAS2	3.47187412337195e-28	-3.60374749230963	Down-Regulated	5.65915482109628e-26	Down-Regulated	3	Down-Regulated
7	CLOCK	2.19054151865705e-42	-5.66145349330621	Down-Regulated	3.57058267541099e-40	Down-Regulated	3	Down-Regulated
8	PER3	2.26749241363243e-26	-3.54800860481034	Down-Regulated	3.69601263422086e-24	Down-Regulated	3	Down-Regulated
9	TIMELESS	2.22035384988699e-09	-1.26129177642768	Down-Regulated	3.6191767753158e-07	Down-Regulated	3	Down-Regulated
10	ADORA2A	5.39992059803907e-38	3.66685682367095	Up-Regulated	8.80187057480368e-36	Up-Regulated	3	Up-Regulated
11	MTA1	0.88752200358832	0.0300191493773463	Up-Regulated	1	Not Significant	1	Not Significant
12	PTGDS	4.95471419906731e-18	2.5871852361421	Up-Regulated	8.07618414447971e-16	Up-Regulated	3	Up-Regulated
13	PER1	2.31304680433728e-37	-3.69305921673245	Down-Regulated	3.77026629106977e-35	Down-Regulated	3	Down-Regulated
14	PER2	2.79431019576126e-13	-2.14012186047012	Down-Regulated	4.55472561909085e-11	Down-Regulated	3	Down-Regulated
15	TP53	2.87833971259367e-34	-1.9465938371699	Down-Regulated	4.69169373152768e-32	Down-Regulated	3	Down-Regulated
16	ATG7	7.9453961990671e-07	-1.07638307355836	Down-Regulated	0.000129509958044794	Down-Regulated	3	Down-Regulated
17	ADRB1	9.6131694219507e-18	2.80126060807522	Up-Regulated	1.56694661577796e-15	Up-Regulated	3	Up-Regulated
18	BTBD9	8.73398160355151e-28	-3.42821292771301	Down-Regulated	1.4236390013789e-25	Down-Regulated	3	Down-Regulated
19	HCRTR2	5.9997736286959e-05	0.352941017349897	Up-Regulated	0.00977963101477431	Up-Regulated	3	Up-Regulated
20	RAI1	0.00773287088127597	0.589514689317034	Up-Regulated	1	Not Significant	1	Not Significant
21	CREB1	5.63109965993123e-20	-3.07986696599578	Down-Regulated	9.17869244568791e-18	Down-Regulated	3	Down-Regulated
22	ADCY1	9.21541839862463e-06	-0.995869856817596	Down-Regulated	0.00150211319897582	Down-Regulated	3	Down-Regulated
23	ADORA1	0.396780234234695	0.101307407869722	Up-Regulated	1	Not Significant	1	Not Significant
24	AGRP	1.26206327927745e-28	-3.63609310749759	Down-Regulated	2.05716314522225e-26	Down-Regulated	3	Down-Regulated
25	ATF4	5.05761786109242e-11	-1.0291806840491	Down-Regulated	8.24391711358065e-09	Down-Regulated	3	Down-Regulated
26	ATF5	5.90003223665369e-11	-1.22211002099183	Down-Regulated	9.61705254574551e-09	Down-Regulated	3	Down-Regulated
27	ATOH7	0.00396328571643953	0.163000459417876	Up-Regulated	0.646015571779643	Not Significant	1	Not Significant
28	CARTPT	3.55327052120012e-06	0.628794183524362	Up-Regulated	0.00057918309495562	Up-Regulated	3	Up-Regulated
29	CAVIN3	3.53079416136003e-47	7.15416792602324	Up-Regulated	5.75519448301686e-45	Up-Regulated	3	Up-Regulated
30	CCAR2	2.45479375613461e-14	-1.34084277254626	Down-Regulated	4.00131382249942e-12	Down-Regulated	3	Down-Regulated
31	CHRNB2	0.13361092000074	-0.325659672826985	Down-Regulated	1	Not Significant	1	Not Significant
32	CIPC	0.0150256395947068	0.469568166899723	Up-Regulated	1	Not Significant	1	Not Significant
33	CLDN4	1.33548828873571e-12	1.47277922421798	Up-Regulated	2.17684591063921e-10	Up-Regulated	3	Up-Regulated
34	CPT1A	1.33535737493272e-16	-2.13350799295494	Down-Regulated	2.17663252114033e-14	Down-Regulated	3	Down-Regulated
35	CREM	2.58700458251542e-17	-2.46655820096372	Down-Regulated	4.21681746950014e-15	Down-Regulated	3	Down-Regulated
36	CRH	0.0019849181736288	0.33027689204858	Up-Regulated	0.323541662301494	Not Significant	1	Not Significant
37	CRTC1	4.63316749493075e-07	1.13329424963389	Up-Regulated	7.55206301673712e-05	Up-Regulated	3	Up-Regulated
38	DRD2	3.75724638849026e-11	0.974921232949236	Up-Regulated	6.12431161323912e-09	Up-Regulated	3	Up-Regulated
39	DRD3	0.403213668679345	-0.0725034031971291	Down-Regulated	1	Not Significant	1	Not Significant
40	DRD4	1.46739204622438e-09	1.48513838462959	Up-Regulated	2.39184903534575e-07	Up-Regulated	3	Up-Regulated
41	EGR1	3.92140261757169e-62	-9.7567158962092	Down-Regulated	6.39188626664185e-60	Down-Regulated	3	Down-Regulated
42	EGR3	4.7847446695423e-16	-4.1475913472274	Down-Regulated	7.79913381135394e-14	Down-Regulated	3	Down-Regulated
43	EP300	2.5312652402349e-111	10.4934830062259	Up-Regulated	4.12596234158289e-109	Up-Regulated	3	Up-Regulated
44	EZH2	2.32655265126795e-06	-0.736201329558274	Down-Regulated	0.000379228082156677	Down-Regulated	3	Down-Regulated
45	F7	1.80203956632084e-13	1.39534883212124	Up-Regulated	2.93732449310297e-11	Up-Regulated	3	Up-Regulated
46	FBXW11	0.51013857324792	0.15365143504363	Up-Regulated	1	Not Significant	1	Not Significant
47	GFPT1	6.50272753742993e-32	-3.99364876507018	Down-Regulated	1.05994458860108e-29	Down-Regulated	3	Down-Regulated
48	GHRH	0.00538524786214967	0.350177101659686	Up-Regulated	0.877795401530396	Not Significant	1	Not Significant
49	GHRL	3.13164446494588e-81	-5.96848692753665	Down-Regulated	5.10458047786179e-79	Down-Regulated	3	Down-Regulated
50	GNA11	9.79310115057941e-86	8.34345774437288	Up-Regulated	1.59627548754444e-83	Up-Regulated	3	Up-Regulated
51	GNAQ	1.98048623328543e-30	4.46654812049651	Up-Regulated	3.22819256025525e-28	Up-Regulated	3	Up-Regulated
52	HDAC1	0.0054196658500715	-0.49621736515851	Down-Regulated	0.883405533561654	Not Significant	1	Not Significant
53	HDAC2	2.00741376522509e-25	-2.30410957122132	Down-Regulated	3.27208443731689e-23	Down-Regulated	3	Down-Regulated
54	HDAC3	0.00672627562747955	-0.442335740205013	Down-Regulated	1	Not Significant	1	Not Significant
55	HEBP1	0.21189921472299	0.5126468014465	Up-Regulated	1	Not Significant	1	Not Significant
56	HNRNPD	1.15055658243321e-101	8.74347100948296	Up-Regulated	1.87540722936613e-99	Up-Regulated	3	Up-Regulated
57	HNRNPU	4.36672629564143e-16	-1.71415292610714	Down-Regulated	7.11776386189553e-14	Down-Regulated	3	Down-Regulated
58	HTR7	7.26433586354853e-14	-2.14021063595856	Down-Regulated	1.18408674575841e-11	Down-Regulated	3	Down-Regulated
59	ID2	1.7528356799835e-95	-9.42180749410048	Down-Regulated	2.85712215837311e-93	Down-Regulated	3	Down-Regulated
60	ID4	5.5787691736638e-25	1.7167960821305	Up-Regulated	9.09339375307199e-23	Up-Regulated	3	Up-Regulated
61	KCNA2	1.31315062071024e-26	-2.49297307912249	Down-Regulated	2.14043551175769e-24	Down-Regulated	3	Down-Regulated
62	KCNH7	0.0210091306370259	0.420753270636043	Up-Regulated	1	Not Significant	1	Not Significant
63	KDM5A	1.68726821306497e-07	-1.13000757929833	Down-Regulated	2.75024718729591e-05	Down-Regulated	3	Down-Regulated
64	KLF10	1.88518715992666e-27	-2.71819425760634	Down-Regulated	3.07285507068046e-25	Down-Regulated	3	Down-Regulated
65	KLF9	2.23594861974097e-40	-5.73550044625329	Down-Regulated	3.64459625017779e-38	Down-Regulated	3	Down-Regulated
66	KMT2A	1.13358115390723e-26	-3.53456756982162	Down-Regulated	1.84773728086878e-24	Down-Regulated	3	Down-Regulated
67	LEP	3.69746182561694e-05	0.0688190045794236	Up-Regulated	0.00602686277575561	Up-Regulated	3	Up-Regulated
68	LGR4	8.85785001871409e-63	-7.31003787542504	Down-Regulated	1.4438295530504e-60	Down-Regulated	3	Down-Regulated
69	MAGEL2	4.58094567444574e-22	2.28770015264621	Up-Regulated	7.46694144934655e-20	Up-Regulated	3	Up-Regulated
70	MAPK10	0.0156462870589462	-0.467631944521272	Down-Regulated	1	Not Significant	1	Not Significant
71	MAPK8	2.41742423715502e-32	-3.2847902538394	Down-Regulated	3.94040150656269e-30	Down-Regulated	3	Down-Regulated
72	MAPK9	4.6695390019594e-52	-5.58952912411372	Down-Regulated	7.61134857319383e-50	Down-Regulated	3	Down-Regulated
73	MC3R	6.10813547885308e-29	-1.00000144269432	Down-Regulated	9.95626083053052e-27	Down-Regulated	3	Down-Regulated
74	METTL3	3.96693222637721e-05	-0.773578200242887	Down-Regulated	0.00646609952899485	Down-Regulated	3	Down-Regulated
75	MTNR1A	1.21508114811244e-30	1.55299406021367	Up-Regulated	1.98058227142327e-28	Up-Regulated	3	Up-Regulated
76	MTNR1B	4.8838930362152e-32	2.26874613516803	Up-Regulated	7.96074564903077e-30	Up-Regulated	3	Up-Regulated
77	MTTP	0.222392841653094	0.287976752955333	Up-Regulated	1	Not Significant	1	Not Significant
78	MYCBP2	8.72482606618144e-26	-3.00999407689061	Down-Regulated	1.42214664878757e-23	Down-Regulated	3	Down-Regulated
79	NAMPT	1.08820421409892e-46	5.63450617329417	Up-Regulated	1.77377286898124e-44	Up-Regulated	3	Up-Regulated
80	NCOA2	5.30570982043909e-17	-2.16877461821259	Down-Regulated	8.64830700731571e-15	Down-Regulated	3	Down-Regulated
81	NCOR1	1.90529360586832e-19	-1.74228957136705	Down-Regulated	3.10562857756537e-17	Down-Regulated	3	Down-Regulated
82	NFIL3	0.251453489070625	0.222143995717303	Up-Regulated	1	Not Significant	1	Not Significant
83	NGFR	0.00337188231909596	1.01574592177706	Up-Regulated	0.549616818012642	Not Significant	1	Not Significant
84	NKX2-1	4.66866726739009e-05	0.437792352316848	Up-Regulated	0.00760992764584584	Up-Regulated	3	Up-Regulated
85	NLGN1	0.00666443569338813	0.255813970263883	Up-Regulated	1	Not Significant	1	Not Significant
