Run	BioProject	Tissue	Sex	Species	Total sleep time per day (hr)	Platform	Instrument	LibrarySelection	Type
SRR6307204	PRJNA419061	blood		African elephant	3.3	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep
SRR13705738	PRJNA701734	blood		Arabian camel	1.7	ILLUMINA	Illumina HiSeq 4000	RANDOM	short sleep
SRR13705739	PRJNA701734	blood		Arabian camel	1.7	ILLUMINA	Illumina HiSeq 4000	RANDOM	short sleep
SRR13705740	PRJNA701734	blood		Arabian camel	1.7	ILLUMINA	Illumina HiSeq 4000	RANDOM	short sleep
SRR13705741	PRJNA701734	blood		Arabian camel	1.7	ILLUMINA	Illumina HiSeq 4000	RANDOM	short sleep
SRR13705742	PRJNA701734	blood		Arabian camel	1.7	ILLUMINA	Illumina HiSeq 4000	RANDOM	short sleep
SRR13705745	PRJNA701734	blood		Arabian camel	1.7	ILLUMINA	Illumina HiSeq 4000	RANDOM	short sleep
SRR13705746	PRJNA701734	blood		Arabian camel	1.7	ILLUMINA	Illumina HiSeq 4000	RANDOM	short sleep
SRR13705747	PRJNA701734	blood		Arabian camel	1.7	ILLUMINA	Illumina HiSeq 4000	RANDOM	short sleep
SRR13705748	PRJNA701734	blood		Arabian camel	1.7	ILLUMINA	Illumina HiSeq 4000	RANDOM	short sleep
SRR13705749	PRJNA701734	blood		Arabian camel	1.7	ILLUMINA	Illumina HiSeq 4000	RANDOM	short sleep
SRR10677982	PRJNA595370	blood	female	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep
SRR10677983	PRJNA595370	blood	female	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep
SRR10677984	PRJNA595370	blood	female	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep
SRR10677985	PRJNA595370	blood	female	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep
SRR10677986	PRJNA595370	blood	male	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep
SRR10677987	PRJNA595370	blood	male	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep
SRR10677988	PRJNA595370	blood	male	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep
SRR10677989	PRJNA595370	blood	male	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep
SRR10677990	PRJNA595370	blood	female	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep
SRR10677991	PRJNA595370	blood	female	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep
SRR10677992	PRJNA595370	blood	female	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep
SRR10677993	PRJNA595370	blood	female	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep
SRR10677994	PRJNA595370	blood	female	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep
SRR10677995	PRJNA595370	blood	female	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep
SRR10677996	PRJNA595370	blood	female	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep
SRR10677997	PRJNA595370	blood	female	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep
SRR10678000	PRJNA595370	blood	male	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep
SRR10678001	PRJNA595370	blood	male	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep
SRR10678010	PRJNA595370	blood	female	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep
SRR10678011	PRJNA595370	blood	female	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep
SRR10678012	PRJNA595370	blood	female	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep
SRR10678013	PRJNA595370	blood	female	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep
SRR10678014	PRJNA595370	blood	female	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep
SRR10678015	PRJNA595370	blood	female	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep
SRR10678016	PRJNA595370	blood	female	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep
