Species_name_ensembl	Species_symbol_name_ensembl	Phylum	Class	Order	Family	Genus	Total_sleep_time_per_day	REM_sleep_time_per_day	NREM_time_per_day	Percentage_of_NREM_time_per_day	Number_of_sleep_times_per_day	Sleep_timing_per_day
African elephant	Loxodonta africana	Chordata	Mammalia	Proboscidea	Elephantidae	Loxodonta	3.3	0.4455	2.8545	0.865	More than twice	Sleep at daytime
African ostrich	Struthio camelus australis	Chordata	Aves	Struthioniformes	Struthionidae	Struthio	10.12	NA	NA	NA	Once	Sleep at night
Arabian camel	Camelus dromedarius	Chordata	Mammalia	Artiodactyla	Camelidae	Camelus	1.7	0.5	1.2	0.705882353	More than twice	Sleep at night
Arctic ground squirrel	Urocitellus parryii	Chordata	Mammalia	Rodentia	Sciuridae	Urocitellus	16.08	3.3768	12.703	0.789987562	More than twice	NA
Argentine black and white tegu	Salvator merianae	Chordata	Lepidosauria	Squamata	Teiidae	Salvator	16	NA	NA	NA	Once	Sleep at night
Armadillo	Dasypus novemcinctus	Chordata	Mammalia	Cingulata	Dasypodidae	Dasypus	17.4	3.1	14.3	0.82183908	More than twice	Sleep at daytime
Beluga whale	Delphinapterus leucas	Chordata	Mammalia	Artiodactyla	Monodontidae	Delphinapterus	8	NA	NA	NA	NA	Sleep at night
Black snub-nosed monkey	Rhinopithecus bieti	Chordata	Mammalia	Primates	Cercopithecidae	Rhinopithecus	11.5	NA	NA	NA	NA	Sleep at night
Bolivian squirrel monkey	Saimiri boliviensis boliviensis	Chordata	Mammalia	Primates	Cebidae	Saimiri	9.13	1.03	8.1	0.887185104	NA	Sleep at night
Cat	Felis catus	Chordata	Mammalia	Carnivora	Felidae	Felis	12.5	3.2	9.3	0.744	More than twice	NA
Chicken	Gallus gallus	Chordata	Aves	Galliformes	Phasianidae	Gallus	11.76	1.2	10.56	0.897959184	NA	Sleep at night
Chimpanzee	Pan troglodytes	Chordata	Mammalia	Primates	Hominidae	Pan	9.7	1.4	8.3	0.855670103	Once	Sleep at night
Coquerel's sifaka	Propithecus coquereli	Chordata	Mammalia	Primates	Indriidae	Propithecus	10.63	NA	NA	NA	NA	Sleep at night
Cow	Bos taurus	Chordata	Mammalia	Artiodactyla	Bovidae	Bos	4	0.8	3.2	0.8	Once	Sleep at night
Crab-eating macaque	Macaca fascicularis	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	10.46	1.71	8.74	0.835564054	Once	Sleep at night
Degu	Octodon degus	Chordata	Mammalia	Rodentia	Octodontidae	Octodon	7.7	0.9	6.8	0.883116883	More than twice	Sleep at night
Dog	Canis lupus familiaris	Chordata	Mammalia	Carnivora	Canidae	Canis	10.1	2.9	7.2	0.712871287	More than twice	Sleep at daytime
Dolphin	Tursiops truncatus	Chordata	Mammalia	Artiodactyla	Delphinidae	Tursiops	10.4	NA	NA	NA	NA	Sleep at night
Donkey	Equus asinus	Chordata	Mammalia	Perissodactyla	Equidae	Equus	3.1	0.4	2.7	0.870967742	Once	NA
Drosophila melanogaster (fruit fly)	Drosophila melanogaster	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	13	NA	NA	NA	More than twice	Sleep at night
Duck	Anas platyrhynchos platyrhynchos	Chordata	Aves	Anseriformes	Anatidae	Anas	10.8	NA	NA	NA	More than twice	Sleep at night
Ferret	Mustela putorius furo	Chordata	Mammalia	Carnivora	Mustelidae	Mustela	15.11228571	4.876114286	10.23628571	0.677348609	More than twice	Sleep at daytime
Giant panda	Ailuropoda melanoleuca	Chordata	Mammalia	Carnivora	Ursidae	Ailuropoda	10	NA	NA	NA	More than twice	Sleep at anytime
Gibbon	Nomascus leucogenys	Chordata	Mammalia	Primates	Hylobatidae	Nomascus	12	NA	NA	NA	NA	Sleep at night
Goat	Capra hircus	Chordata	Mammalia	Artiodactyla	Bovidae	Capra	5.4	0.7	4.7	0.87037037	Once	Sleep at night
Golden hamster	Mesocricetus auratus	Chordata	Mammalia	Rodentia	Cricetidae	Mesocricetus	14.3	3.1	11.2	0.783216783	More than twice	Sleep at daytime
Great tit	Parus major	Chordata	Aves	Passeriformes	Paridae	Parus	8	NA	NA	NA	NA	NA
Guinea pig	Cavia porcellus	Chordata	Mammalia	Rodentia	Caviidae	Cavia	9.4	0.8	8.6	0.914893617	More than twice	Sleep at night
Guppy	Poecilia reticulata	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	Poecilia	7	NA	NA	NA	NA	NA
Hedgehog	Erinaceus europaeus	Chordata	Mammalia	Eulipotyphla	Erinaceidae	Erinaceus	10.1	3.5	6.6	0.653465347	More than twice	Sleep at daytime
Horse	Equus caballus	Chordata	Mammalia	Perissodactyla	Equidae	Equus	2.9	0.6	2.3	0.793103448	Once	Sleep at daytime
Human	Homo sapiens	Chordata	Mammalia	Primates	Hominidae	Homo	8	1.9	6.1	0.7625	Once	Sleep at night
Hyrax	Procavia capensis	Chordata	Mammalia	Hyracoidea	Procaviidae	Procavia	5.4	0.5	4.9	0.907407407	More than twice	Sleep at night
Japanese quail	Coturnix japonica	Chordata	Aves	Galliformes	Phasianidae	Coturnix	11.208	0.456	10.752	0.959314775	More than twice	Sleep at daytime
Kangaroo rat	Dipodomys ordii	Chordata	Mammalia	Rodentia	Heteromyidae	Dipodomys	16	2.72	13.28	0.83	NA	Sleep at daytime
Koala	Phascolarctos cinereus	Chordata	Mammalia	Diprotodontia	Phascolarctidae	Phascolarctos	21.5	NA	NA	NA	NA	Sleep at daytime
Lesser hedgehog tenrec	Echinops telfairi	Chordata	Mammalia	Afrosoricida	Tenrecidae	Echinops	13.3	NA	NA	NA	NA	Sleep at daytime
Lion	Panthera leo	Chordata	Mammalia	Carnivora	Felidae	Panthera	14	2.6	11.4	0.814285714	NA	Sleep at daytime
Long-tailed chinchilla	Chinchilla lanigera	Chordata	Mammalia	Rodentia	Chinchillidae	Chinchilla	12.52	1.55	10.97	0.876198083	More than twice	Sleep at daytime
Macaque	Macaca mulatta	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	10.1	1.2	8.9	0.881188119	Once	Sleep at night
Mexican tetra	Astyanax mexicanus	Chordata	Actinopteri	Characiformes	Characidae	Astyanax	8	NA	NA	NA	NA	NA
Microbat	Myotis lucifugus	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	19.9	2	17.9	0.899497487	NA	Sleep at daytime
Mouse	Mus musculus	Chordata	Mammalia	Rodentia	Muridae	Mus	12.5	1.4	11.1	0.888	More than twice	Sleep at daytime
Mouse lemur	Microcebus murinus	Chordata	Mammalia	Primates	Cheirogaleidae	Microcebus	15.36	0.989	14.371	0.935611979	More than twice	Sleep at daytime
Northern american deer mouse	Peromyscus maniculatus bairdii	Chordata	Mammalia	Rodentia	Cricetidae	Peromyscus	11.5	NA	NA	NA	NA	Sleep at daytime
Olive baboon	Papio anubis	Chordata	Mammalia	Primates	Cercopithecidae	Papio	9.4	1	8.4	0.893617021	Once	Sleep at night
