Gene	Ps	Pi	Theta	TajimasD	Phenotype	dN	dS	dN_dS	Cluster	purity_score	p_value	DiffChange
AANAT	0.539	0.087	0.129	-1.225	phase_of_sleep	0.15368417	0.48178732	0.318987577340143	3	0.533033033033033	0.958596006028149	0.016516516516516
ADCY1	0.526	0.094	0.123	-0.876	phase_of_sleep	0.15239289	0.38169275	0.399255395864868	2	0.51219512195122	0.441899040994615	
ADIPOQ	0.428	0.076	0.101	-0.915	phase_of_sleep	0.15190235	0.48478966	0.313336612831223	3	0.52051282051282	0.905941486801484	0.012820512820512
ADORA1	0.234	0.048	0.055	-0.503	phase_of_sleep	0.18202054	0.14739779	1.23489327757221	4	0.529014844804319	0.244141205319201	0.016194331983806
ADORA2A	0.398	0.083	0.094	-0.43	phase_of_sleep	0.19573587	0.30099882	0.650287831693161	8	0.566801619433198	0.15033388837415	0.0350877192982449
ADRB1	0.451	0.085	0.117	-1.075	phase_of_sleep	0.17579993	0.18983788	0.926052956343592	14	0.561253561253561	0.49353683494464	0.034188034188034
AGRP	0.365	0.069	0.086	-0.71	phase_of_sleep	0.28996024	0.18738071	1.54743911473065	2	0.519230769230769	0.45739236895329	
AHR	0.564	0.129	0.131	-0.057	phase_of_sleep	0.27524353	0.2452949	1.12209234680379	2	0.516840882694541	0.450614509909471	
ARNTL	0.467	0.083	0.109	-0.885	phase_of_sleep	0.11931842	0.28869349	0.413304851453353	4	0.513414634146342	0.818660137394287	0.0121951219512201
ARNTL2	0.547	0.105	0.131	-0.765	phase_of_sleep	0.18615029	0.48719409	0.382086510942692	2	0.504504504504505	0.42897244549383	
ATF4	0.437	0.099	0.103	-0.145	phase_of_sleep	0.2511899	0.14980518	1.67677713147169	7	0.549257759784076	0.203279801428348	0.014844804318489
ATF5	0.276	0.059	0.069	-0.593	phase_of_sleep	0.23906531	0.16343598	1.46274590209573	8	0.58494623655914	0.614847029024121	0.090322580645161
ATG7	0.487	0.086	0.113	-0.894	phase_of_sleep	0.15812555	0.31619018	0.50009633442759	2	0.516840882694541	0.450614509909471	
ATOH7	0.4	0.104	0.099	0.192	phase_of_sleep	0.31432747	0.34490292	0.911350562065407	2	0.502016129032258	0.431287132972884	
BHLHE40	0.54	0.07	0.127	-1.695	phase_of_sleep	0.21865993	0.20712379	1.05569683714266	4	0.508974358974359	0.47561288816211	0.0115384615384621
BHLHE41	0.356	0.04	0.085	-2.021	phase_of_sleep	0.18489565	0.3238996	0.570842477113278	5	0.534534534534535	0.330902770094324	0.0165165165165171
BTBD9	0.402	0.064	0.094	-1.167	phase_of_sleep	0.18744919	0.10236511	1.83118242143246	4	0.518002322880372	0.806156361620351	0.012775842044135
BTRC	0.291	0.053	0.068	-0.865	phase_of_sleep	0.13730046	0.04607232	2.98010736164361	3	0.534615384615385	0.96173813591397	0.015384615384616
CARTPT	0.394	0.034	0.094	-2.424	phase_of_sleep	0.16741245	0.28561888	0.5861392986346	7	0.567567567567568	0.128846243257188	0.0369843527738269
CAVIN3	0.306	0.051	0.075	-1.221	phase_of_sleep	0.1870974	0.21970101	0.851600090504818	3	0.524621212121212	0.930735748281119	0.017045454545454
CCAR2	0.462	0.087	0.11	-0.784	phase_of_sleep	0.15837906	0.26290084	0.602428885354645	5	0.537695590327169	0.988657483158791	0.0142247510668559
CDK1	0.413	0.073	0.096	-0.89	phase_of_sleep	0.04030432	0.56115207	0.0718242383031751	2	0.516840882694541	0.450614509909471	
CHRNB2	0.272	0.044	0.064	-1.183	phase_of_sleep	0.05918437	0.4079405	0.14508088802166	3	0.515519568151147	0.146100465963422	0.0121457489878539
CIART	0.352	0.059	0.087	-1.255	phase_of_sleep	0.19870242	0.30240984	0.657063341589678	14	0.560483870967742	0.140004219103957	0.00604838709677402
CIPC	0.589	0.13	0.139	-0.24	phase_of_sleep	0.30436848	0.24586485	1.23795036175362	3	0.515519568151147	0.146100465963422	0.0121457489878539
CLDN4	0.222	0.041	0.054	-0.863	phase_of_sleep	0.21604509	0.2448697	0.882285925943471	10	0.498412698412698	0.271296003064084	0.00952380952380899
CLOCK	0.52	0.092	0.121	-0.901	phase_of_sleep	0.17727358	0.14514174	1.22138249134949	4	0.518002322880372	0.806156361620351	0.012775842044135
CPT1A	0.497	0.125	0.116	0.297	phase_of_sleep	0.16119295	0.44785872	0.359919195053297	2	0.51219512195122	0.44189904099461	
CREB1	0.472	0.069	0.11	-1.386	phase_of_sleep	0.13412546	0.10239825	1.30984133029617	2	0.516840882694541	0.450614509909471	
CREM	0.475	0.071	0.11	-1.315	phase_of_sleep	0.20150613	0.18790762	1.0723680604331	2	0.516840882694541	0.450614509909471	
CRH	0.605	0.101	0.149	-1.254	phase_of_sleep	0.20294058	0.33445733	0.606775698412709	14	0.528409090909091	0.502648633485163	0.0284090909090911
CRTC1	0.421	0.077	0.1	-0.87	phase_of_sleep	0.19631811	0.25129017	0.781240706709698	2	0.51417004048583	0.448382737236631	
CRY1	0.349	0.064	0.082	-0.821	phase_of_sleep	0.15132709	0.07880714	1.92022055361989	2	0.51219512195122	0.441899040994615	
CRY2	0.273	0.051	0.064	-0.745	phase_of_sleep	0.13972732	0.15678131	0.89122434300364	3	0.52051282051282	0.905941486801482	0.012820512820512
CSNK1D	0.488	0.086	0.114	-0.922	phase_of_sleep	0.10382774	0.38184261	0.271912398671275	13	0.569512195121951	0.351092423091169	0.0365853658536579
CSNK1E	0.347	0.062	0.081	-0.884	phase_of_sleep	0.07119759	0.4526612	0.157286708027991	9	0.518292682926829	0.900593873661893	0.012195121951219
DBP	0.389	0.049	0.095	-1.876	phase_of_sleep	0.21954942	0.20226245	1.0854680144535	2	0.513368983957219	0.453462174104541	
DRD2	0.37	0.064	0.087	-0.963	phase_of_sleep	0.15814781	0.08444704	1.87274545087667	5	0.515853658536585	0.0720406081626205	0.0121951219512191
DRD3	0.584	0.114	0.137	-0.649	phase_of_sleep	0.2192976	0.14400781	1.52281740830584	2	0.519230769230769	0.457392368953296	
DRD4	0.409	0.094	0.102	-0.283	phase_of_sleep	0.20539539	0.48446013	0.423967582223949	12	0.524193548387097	0.0193371788812958	0.020161290322581
DYRK1A	0.376	0.055	0.089	-1.419	phase_of_sleep	0.06185519	0.21487815	0.287861702085577	2	0.507692307692308	0.432767580667785	
EGR1	0.474	0.077	0.113	-1.209	phase_of_sleep	0.09379448	0.32111959	0.292085823851482	3	0.540540540540541	0.203365325045695	0.0312944523470841
EGR3	0.355	0.052	0.085	-1.446	phase_of_sleep	0.13020617	0.04102104	3.17413137258344	6	0.512091038406828	0.515802944266716	0.012802275960171
EP300	0.432	0.076	0.101	-0.919	phase_of_sleep	0.11525201	0.29184623	0.394906625999589	2	0.51219512195122	0.44189904099461	
EZH2	0.206	0.037	0.049	-0.899	phase_of_sleep	0.13823722	0.22860596	0.604696482978834	2	0.507692307692308	0.432767580667785	
F7	0.5	0.137	0.119	0.578	phase_of_sleep	0.36893715	0.22858642	1.61399417340715	14	0.52773826458037	0.578200033159673	0.00995732574679997
FBXL3	0.383	0.066	0.091	-1.041	phase_of_sleep	0.16597943	0.13058144	1.27107979510718	7	0.526315789473684	0.221899452113916	0.00142247510668492
FBXW11	0.327	0.056	0.076	-0.997	phase_of_sleep	0.14045042	0.02730834	5.14313283048329	2	0.51219512195122	0.441899040994615	
FBXW7	0.322	0.045	0.075	-1.501	phase_of_sleep	0.12376007	0.11097167	1.11524022302269	2	0.516840882694541	0.450614509909475	
GFPT1	0.336	0.071	0.079	-0.363	phase_of_sleep	0.17537905	0.0290391	6.03941065666636	6	0.514634146341463	0.818660137394287	0.00121951219512095
GHRH	0.403	0.059	0.096	-1.452	phase_of_sleep	0.32614514	0.28763598	1.13388158185217	2	0.522048364153627	0.464907420039089	
GHRL	0.294	0.063	0.071	-0.466	phase_of_sleep	0.28766917	0.28934182	0.994219121176469	14	0.529411764705882	0.657353822589534	0.0504201680672271
GNA11	0.489	0.064	0.117	-1.707	phase_of_sleep	0.21225061	0.19056196	1.11381416312049	2	0.504504504504505	0.42897244549383	
GNAQ	0.405	0.057	0.101	-1.695	phase_of_sleep	0.12751742	0.10171691	1.2536501551217	12	0.516129032258065	0.0480233058964338	0.010752688172043
GSK3B	0.171	0.021	0.04	-1.748	phase_of_sleep	0.0933081	0.12249106	0.761754368033063	5	0.531939605110337	0.864858680068775	0.013937282229965
HCRTR2	0.433	0.067	0.101	-1.263	phase_of_sleep	0.22798873	0.12101403	1.88398593121806	2	0.524390243902439	0.465984679055462	
HDAC1	0.264	0.043	0.063	-1.172	phase_of_sleep	0.1697196	0.0390602	4.34507759816898	13	0.554655870445344	0.02756942577778	0.0647773279352231
HDAC2	0.379	0.054	0.089	-1.479	phase_of_sleep	0.11833244	0.10413145	1.13637560986618	5	0.515853658536585	0.959477416877398	0.00243902439024302
HDAC3	0.202	0.052	0.049	0.251	phase_of_sleep	0.03926393	0.29096533	0.134943671811346	4	0.512698412698413	0.396339001573836	0.011111111111111
