Gene_symbol	Phenotype	ph	Ps	Pi	Theta	omega_M0	dN_tree	dS_tree	FDR_M1a_vs_M2a	Significant_M1a_vs_M2a_FDR05	Status_M1a_vs_M2a	omega_positive_M1a_vs_M2a	prop_sites_positive_M1a_vs_M2a	N_BEB_sites_P95_M1a_vs_M2a	N_BEB_sites_P99_M1a_vs_M2a	BEB_P99_gap_enrichment_M1a_vs_M2a	FDR_M7_vs_M8	Significant_M7_vs_M8_FDR05	Status_M7_vs_M8
AANAT	Sleep duration	Sleep_duration	0.626	0.094	0.135	0.16510841456136863	3.486	21.1134	2.329e-36	YES	OK	11.8796	0.15332	26	15	1.519			
ADCY1	Sleep duration	Sleep_duration	0.602	0.096	0.127	0.09239285398251841	1.8794	20.3414	1	NO	OK	1	0.1049	0	0	NA			
ADIPOQ	Sleep duration	Sleep_duration	0.485	0.077	0.103	0.24435657893036658	3.7822	15.4782	7.473e-33	YES	OK	4.1655	0.1551	17	9	1.311			
ADORA1	Sleep duration	Sleep_duration	0.29	0.048	0.062	0.056535969393396585	2.0452	36.1752	1	NO	OK	1	0.10281	0	0	NA			
ADORA2A	Sleep duration	Sleep_duration	0.449	0.085	0.096	0.0976615156192002	2.9994	30.7122	1	NO	OK	25.1377	0	2	0	NA			
ADRB1	Sleep duration	Sleep_duration	0.553	0.09	0.127	0.09198077339613163	1.9959	21.6991	1	NO	OK	1	0.15713	3	0	NA			
AGRP	Sleep duration	Sleep_duration	0.468	0.07	0.1	0.262500280149712	4.685	17.8476	1.811e-07	YES	OK	28.248	0.12857	2	0	NA			
AHR	Sleep duration	Sleep_duration	0.609	0.126	0.129	0.24343484650053185	3.9592	16.2639	1	NO	OK	1	0.04702	0	0	NA			
ARNTL2	Sleep duration	Sleep_duration	0.582	0.106	0.126	0.25319119994845396	3.5366	13.9681	1	NO	OK	1	0.11539	13	8	0.825			
ATF4	Sleep duration	Sleep_duration	0.554	0.104	0.118	0.22441641083625322	3.4138	15.2119	1	NO	OK	1	0.10975	0	0	NA			
ATF5	Sleep duration	Sleep_duration	0.447	0.061	0.1	0.12516156372497086	2.9535	23.5975	0.02449	YES	OK	2.9137	0.01228	1	1	0.088			
ATG7	Sleep duration	Sleep_duration	0.53	0.085	0.111	0.15150003480359175	2.6118	17.2396	0	YES	OK	39.1686	0.15567	127	97	2.131			
BHLHE40	Sleep duration	Sleep_duration	0.583	0.077	0.124	0.1218772540158842	3.0584	25.0941	1	NO	OK	1	0.11498	0	0	NA			
BHLHE41	Sleep duration	Sleep_duration	0.386	0.042	0.083	0.16932975730784688	3.8765	22.8932	1	NO	OK	1	0.034	0	0	NA			
BTBD9	Sleep duration	Sleep_duration	0.436	0.066	0.092	0.07022252538133793	1.4207	20.2314	1	NO	OK	1	0.14886	0	0	NA			
BTRC	Sleep duration	Sleep_duration	0.346	0.05	0.074	0.07000041395868692	0.6764	9.6628	1	NO	OK	3.7881	0.00523	0	0	NA			
CARTPT	Sleep duration	Sleep_duration	0.415	0.034	0.089	0.11386272072368914	3.041	26.7076	1	NO	OK	1	0.11871	1	0	NA			
CAVIN3	Sleep duration	Sleep_duration	0.462	0.058	0.101	0.1934858862844548	3.2655	16.8772	1	NO	OK	1	0.09592	8	6	1.239			
CCAR2	Sleep duration	Sleep_duration	0.508	0.086	0.109	0.12165433108137182	2.2617	18.5912	1	NO	OK	1	0.10858	2	0	NA			
CDK1	Sleep duration	Sleep_duration	0.471	0.074	0.099	0.08471144761451793	1.318	15.5587	1.392e-29	YES	OK	23.145	0.12124	22	6	2.171			
CHRNB2	Sleep duration	Sleep_duration	0.321	0.046	0.069	0.06958009388632191	1.5089	21.6858	1	NO	OK	1	0.12173	9	5	1.3			
CIART	Sleep duration	Sleep_duration	0.498	0.069	0.11	0.4060518684775307	4.957	12.2078	0.004735	YES	OK	4.3576	0.00653	1	1	0.124			
CIPC	Sleep duration	Sleep_duration	0.68	0.136	0.144	0.17894499974594047	4.9304	27.5526	1	NO	OK	62.9045	0	6	2	2.383			
CLOCK	Sleep duration	Sleep_duration	0.582	0.093	0.122	0.10278938711007968	2.0684	20.1227	1	NO	OK	1	0.09089	0	0	NA			
CPT1A	Sleep duration	Sleep_duration	0.56	0.121	0.118	0.09508921672352921	2.3997	25.2363	1	NO	OK	1	0.12452	4	0	NA			
CREB1	Sleep duration	Sleep_duration	0.503	0.068	0.106	0.04276394834506635	0.961	22.4722	1	NO	OK	14.3557	0	0	0	NA			
CRH	Sleep duration	Sleep_duration	0.665	0.105	0.147	0.21040531044692623	3.0841	14.6579	1	NO	OK	1	0.16443	0	0	NA			
CRTC1	Sleep duration	Sleep_duration	0.504	0.077	0.108	0.09222242618051597	2.8637	31.0521	1	NO	OK	1	0.02603	0	0	NA			
CRY1	Sleep duration	Sleep_duration	0.399	0.068	0.084	0.09602234191103132	1.2034	12.5325	1	NO	OK	1	0.14477	0	0	NA			
CRY2	Sleep duration	Sleep_duration	0.326	0.054	0.069	0.0901024352175596	1.4663	16.2737	1	NO	OK	1	0.13363	1	0	NA			
CSNK1D	Sleep duration	Sleep_duration	0.551	0.084	0.117	0.09235214364422056	1.8187	19.6931	3.119e-26	YES	OK	2.846	0.0672	6	6	0.224			
CSNK1E	Sleep duration	Sleep_duration	0.364	0.058	0.077	0.053542904187590404	1.6324	30.4877	1	NO	OK	1	0.01514	2	1	1.97			
DRD2	Sleep duration	Sleep_duration	0.413	0.067	0.087	0.06472096538203381	1.3403	20.7089	1	NO	OK	1	0.09646	0	0	NA			
DRD3	Sleep duration	Sleep_duration	0.627	0.119	0.133	0.1386014424584509	2.0774	14.9883	1	NO	OK	7.399	0	0	0	NA			
DRD4	Sleep duration	Sleep_duration	0.46	0.098	0.103	0.13250922992992442	3.1333	23.6459	1	NO	OK	1	0.02052	0	0	NA			
DYRK1A	Sleep duration	Sleep_duration	0.407	0.056	0.086	0.041041607698839515	0.7395	18.0183	1	NO	OK	1	0.03781	11	2	2.572			
EGR1	Sleep duration	Sleep_duration	0.562	0.082	0.121	0.07562060553881476	1.7391	22.9977	1	NO	OK	1	0.14092	0	0	NA			
