Gene_symbol	Phenotype	ph	Ps	Pi	Theta	omega_M0	dN_tree	dS_tree	FDR_M2	FDR_M1a_vs_M2a	Significant_M1a_vs_M2a_FDR05	Status_M1a_vs_M2a	omega_positive_M1a_vs_M2a	prop_sites_positive_M1a_vs_M2a	N_BEB_sites_P95_M1a_vs_M2a	N_BEB_sites_P99_M1a_vs_M2a	BEB_P99_gap_enrichment_M1a_vs_M2a	FDR_M7_vs_M8	Significant_M7_vs_M8_FDR05	Status_M7_vs_M8
AANAT	Sleep timing	Sleep_timing	0.586	0.089	0.132	0.17702	2.7637	15.6123	0.02517	1.169e-32	YES	OK	10.7853	0.15445	23	14	1.506			
ADORA1	Sleep timing	Sleep_timing	0.248	0.046	0.055	0.05513	1.7269	31.3226	0.005504	1	NO	OK	1	0.05117	0	0	NA			
ARNTL2	Sleep timing	Sleep_timing	0.552	0.102	0.125	0.25354	2.9034	11.4515	2.688e-06	1	NO	OK	1	0.18297	6	4	0.708			
ATF5	Sleep timing	Sleep_timing	0.294	0.054	0.069	0.12945	1.7964	13.8768	0.3399	1	NO	OK	1	0.08813	1	0	NA			
BHLHE40	Sleep timing	Sleep_timing	0.476	0.072	0.105	0.10874	2.0246	18.6191	0.01176	1	NO	OK	1	0.08857	0	0	NA			
BHLHE41	Sleep timing	Sleep_timing	0.363	0.041	0.081	0.16507	3.1976	19.3717	0.000417	1	NO	OK	1	0.22039	0	0	NA			
BTBD9	Sleep timing	Sleep_timing	0.427	0.061	0.093	0.06683	1.189	17.7924	0.8278	1	NO	OK	1	0.04836	0	0	NA			
BTRC	Sleep timing	Sleep_timing	0.336	0.052	0.074	0.06515	0.5769	8.8555	2.317e-17	0.4216	NO	OK	987.5488	0.00994	1	0	NA			
CAVIN3	Sleep timing	Sleep_timing	0.323	0.051	0.074	0.19059	2.1615	11.3409	0.0003089	1	NO	OK	1	0.23732	8	6	1.355			
CCAR2	Sleep timing	Sleep_timing	0.469	0.084	0.105	0.11967	1.8521	15.4774	0.1135	1	NO	OK	1	0.07405	0	0	NA			
CDK1	Sleep timing	Sleep_timing	0.519	0.072	0.113	0.08983	1.1351	12.636	2.866e-17	1	NO	OK	1	0.17671	3	0	NA			
CHRNB2	Sleep timing	Sleep_timing	0.292	0.044	0.065	0.06052	1.0687	17.6584	0.02786	1	NO	OK	1	0.17695	8	4	1.324			
CIART	Sleep timing	Sleep_timing	0.392	0.062	0.091	0.39565	3.132	7.9161	0.6462	1	NO	OK	1	0.08023	1	1	0.112			
CIPC	Sleep timing	Sleep_timing	0.612	0.129	0.135	0.1929	3.4149	17.7024	0.774	1	NO	OK	1	0.05395	3	1	3.292			
CLOCK	Sleep timing	Sleep_timing	0.524	0.087	0.115	0.0942	1.6738	17.7683	0.7149	1	NO	OK	1	0.10193	0	0	NA			
CRH	Sleep timing	Sleep_timing	0.641	0.103	0.147	0.21335	2.4936	11.6879	0.5139	1	NO	OK	1	0.04933	0	0	NA			
CRY2	Sleep timing	Sleep_timing	0.288	0.051	0.063	0.08511	1.0826	12.7201	0.002582	1	NO	OK	1	0.16095	0	0	NA			
CSNK1E	Sleep timing	Sleep_timing	0.34	0.054	0.075	0.0363	1.1498	31.6723	1.274e-10	1	NO	OK	1	0.00487	0	0	NA			
DRD3	Sleep timing	Sleep_timing	0.614	0.116	0.135	0.13778	1.6056	11.6538	0.0001171	1	NO	OK	1	0.24547	1	0	NA			
DRD4	Sleep timing	Sleep_timing	0.445	0.096	0.103	0.13455	2.5844	19.2077	0.6037	1	NO	OK	1	0.00208	0	0	NA			
DYRK1A	Sleep timing	Sleep_timing	0.371	0.053	0.082	0.03618	0.5886	16.2716	0.1783	2.503e-12	YES	OK	24.3692	0.02367	6	1	2.755			
EGR1	Sleep timing	Sleep_timing	0.453	0.08	0.101	0.07213	0.9238	12.8082	0.774	1	NO	OK	1	0.10773	1	0	NA			
F7	Sleep timing	Sleep_timing	0.464	0.133	0.103	0.21608	3.7182	17.2075	0.01013	2.529e-05	YES	OK	13.5775	0.01253	3	2	2.257			
FBXL3	Sleep timing	Sleep_timing	0.396	0.064	0.088	0.05256	1.3505	25.6968	0.0866	6.572e-07	YES	OK	12.8603	0.01357	4	3	1.958			
FBXW7	Sleep timing	Sleep_timing	0.345	0.042	0.075	0.0945	1.0861	11.4925	1.807e-13	1	NO	OK	1	0.12855	5	2	1.469			
GNA11	Sleep timing	Sleep_timing	0.414	0.059	0.092	0.03341	1.7722	53.0449	2.595e-05	1	NO	OK	1	0.13257	1	0	NA			
GSK3B	Sleep timing	Sleep_timing	0.179	0.02	0.039	0.09227	0.7708	8.3545	0.0001508	2.347e-40	YES	OK	51.1563	0.03157	11	7	1.278			
HEBP1	Sleep timing	Sleep_timing	0.293	0.067	0.066	0.15189	1.7746	11.6835	0.8278	1	NO	OK	1	0.20816	0	0	NA			
HNRNPU	Sleep timing	Sleep_timing	0.406	0.06	0.089	0.07949	0.8088	10.1751	0.2359	1	NO	OK	1	0.12108	0	0	NA			
KCNA2	Sleep timing	Sleep_timing	0.46	0.092	0.103	0.05723	0.5752	10.0511	4.04e-33	1	NO	OK	1	0.0564	0	0	NA			
KCNH7	Sleep timing	Sleep_timing	0.423	0.069	0.093	0.08689	1.4124	16.2551	0.002582	1	NO	OK	1	0.032	0	0	NA			
LGR4	Sleep timing	Sleep_timing	0.567	0.103	0.124	0.11077	2.3646	21.3471	0.1135	1	NO	OK	1	0.08809	0	0	NA			
MAGEL2	Sleep timing	Sleep_timing	0.614	0.107	0.147	0.34418	4.4353	12.8866	0.0001531	1	NO	OK	1	0.11723	0	0	NA			
