Gene	Ps	Pi	Theta	TajimasD	Phenotype	dN	dS	dN_dS	Cluster	purity_score	p_value	DiffChange
AANAT	0.586	0.089	0.132	-1.2	activity_pattern	0.16128875	0.48385148	0.333343508632029	14	0.608156028368794	0.00199900049975013	0.011524822695035
ADCY1	0.549	0.098	0.121	-0.693	activity_pattern	0.13878599	0.33958615	0.408691549994015	13	0.590711175616836	0.0114942528735632	0.034833091436865
ADIPOQ	0.443	0.076	0.098	-0.816	activity_pattern	0.14582838	0.46058483	0.31661568184953	14	0.529027576197388	0.225887056471764	0.00435413642960802
ADORA1	0.248	0.046	0.055	-0.599	activity_pattern	0.16949899	0.14438854	1.17390888501262	14	0.529027576197388	0.408295852073963	0.00290275761973902
ADORA2A	0.408	0.081	0.091	-0.413	activity_pattern	0.18919565	0.27595577	0.685601355608546	14	0.544489795918367	0.245377311344328	0.048163265306122
ADRB1	0.542	0.085	0.13	-1.297	activity_pattern	0.17356419	0.18900435	0.918307911960757	14	0.567567567567568	0.207396301849075	0.0390390390390389
AGRP	0.466	0.069	0.104	-1.198	activity_pattern	0.28119159	0.18110913	1.55260858466936	12	0.523921568627451	0.793103448275862	0.0101960784313729
AHR	0.602	0.13	0.132	-0.07	activity_pattern	0.25866292	0.23291033	1.11056868967555	14	0.525506638714186	0.261869065467266	0.020265548567435
ARNTL	0.527	0.081	0.116	-1.095	activity_pattern	0.10705737	0.25423022	0.421104029253485	13	0.54644412191582	0.0414792603698151	0.048621190130624
ARNTL2	0.552	0.102	0.125	-0.673	activity_pattern	0.17785695	0.46824727	0.379835530060859	14	0.535615171137835	0.173413293353323	0.00925069380203491
ATF4	0.471	0.097	0.105	-0.275	activity_pattern	0.24476672	0.14180187	1.72611771621912	14	0.543529411764706	0.200899550224888	0.00941176470588201
ATF5	0.294	0.054	0.069	-0.776	activity_pattern	0.22140238	0.1474735	1.50130281033542	14	0.617073170731707	0.000999500249875062	0.00731707317073094
ATG7	0.503	0.084	0.11	-0.871	activity_pattern	0.14552183	0.29266915	0.49722299053385	14	0.530639730639731	0.261869065467266	0.00134680134680198
ATOH7	0.419	0.098	0.096	0.054	activity_pattern	0.29717484	0.32060493	0.92691912129985	14	0.55708245243129	0.0969515242378811	0.019027484143764
BHLHE40	0.476	0.072	0.105	-1.137	activity_pattern	0.20485058	0.1890345	1.08366769028934	14	0.524886877828054	0.241379310344828	0.051282051282051
BHLHE41	0.363	0.041	0.081	-1.811	activity_pattern	0.17576445	0.29935233	0.587149096183751	14	0.533163265306123	0.303848075962019	0.00935374149659907
BTBD9	0.427	0.061	0.093	-1.255	activity_pattern	0.17620726	0.09866863	1.78584885591297	14	0.509090909090909	0.51424287856072	0.00404040404040407
BTRC	0.336	0.052	0.074	-1.093	activity_pattern	0.13020302	0.04984282	2.6122723393259	11	0.516690856313498	0.175912043978011	0.00145137880987001
CARTPT	0.188	0.032	0.042	-0.867	activity_pattern	0.15409177	0.26222006	0.587642951496541	13	0.548235294117647	0.101949025487256	0.00784313725490204
CAVIN3	0.323	0.051	0.074	-1.13	activity_pattern	0.17801266	0.21469607	0.829137953014231	14	0.607070707070707	0.00399800099950025	0.02020202020202
CCAR2	0.469	0.084	0.105	-0.739	activity_pattern	0.14683262	0.24792334	0.592250088273254	14	0.577142857142857	0.055472263868066	0.0424489795918369
CDK1	0.519	0.072	0.113	-1.313	activity_pattern	0.04099017	0.53956363	0.075969112299137	13	0.521212121212121	0.255872063968016	0.0148148148148151
CHRNB2	0.292	0.044	0.065	-1.188	activity_pattern	0.05523151	0.37985269	0.145402445353224	14	0.564102564102564	0.00999500249875063	0.000754147812971007
CIART	0.392	0.062	0.091	-1.18	activity_pattern	0.20142866	0.30933686	0.651162813251547	10	0.557491289198606	0.0249875062468766	0.031358885017421
CIPC	0.612	0.129	0.135	-0.173	activity_pattern	0.27891708	0.23383304	1.19280440437331	14	0.583454281567489	0.00599700149925037	0.00217706821480401
CLDN4	0.234	0.041	0.053	-0.815	activity_pattern	0.21671572	0.24183772	0.896120423232571	14	0.521739130434783	0.492753623188406	0.00869565217391299
CLOCK	0.524	0.087	0.115	-0.875	activity_pattern	0.16297486	0.12969263	1.25662391147438	14	0.528619528619529	0.170914542728636	0.018181818181818
CPT1A	0.508	0.118	0.112	0.183	activity_pattern	0.15671327	0.42016487	0.372980420757214	14	0.544992743105951	0.130434782608696	0.0130624092888251
CREB1	0.479	0.065	0.105	-1.368	activity_pattern	0.12257914	0.09919216	1.23577448056379	14	0.554882154882155	0.024487756121939	0.004713804713805
CREM	0.497	0.07	0.109	-1.305	activity_pattern	0.17259054	0.15759467	1.09515467750274	14	0.530398322851153	0.87856071964018	0.00279524807826692
CRH	0.641	0.103	0.147	-1.103	activity_pattern	0.20864893	0.34715458	0.601026004035436	14	0.542424242424243	0.184907546226887	0.00808080808080902
CRTC1	0.48	0.078	0.107	-0.986	activity_pattern	0.18599847	0.22565423	0.824263165817898	11	0.530980392156863	0.171414292853573	0.055686274509804
CRY1	0.374	0.067	0.082	-0.687	activity_pattern	0.14334456	0.07587856	1.88913126448367	12	0.510831586303284	0.36431784107946	0.00559049615653295
CRY2	0.288	0.051	0.063	-0.728	activity_pattern	0.1343905	0.14413648	0.932383668589659	11	0.545073375262055	0.0389805097451274	0.013976240391335
CSNK1D	0.496	0.083	0.109	-0.876	activity_pattern	0.0886637	0.31344915	0.282864700701852	14	0.570230607966457	0.0984507746126937	0.03633822501747
CSNK1E	0.34	0.054	0.075	-1.026	activity_pattern	0.05351309	0.38436699	0.139223948445729	14	0.527576197387518	0.213393303348326	0.00725689404934704
DBP	0.411	0.045	0.093	-1.907	activity_pattern	0.19850233	0.18853101	1.05288954851512	10	0.567149758454106	0.0184907546226887	0.00193236714975797
DRD2	0.356	0.062	0.078	-0.764	activity_pattern	0.13270721	0.07410436	1.79081514232091	14	0.542976939203354	0.0779610194902549	0.00698812019566697
DRD3	0.614	0.116	0.135	-0.518	activity_pattern	0.20071814	0.14425573	1.39140497226696	11	0.5355587808418	0.143928035982009	0.00290275761973902
DRD4	0.445	0.096	0.103	-0.278	activity_pattern	0.20655466	0.47392619	0.435837192285153	13	0.527293844367015	0.428785607196402	0.00813008130081294
DYRK1A	0.371	0.053	0.082	-1.287	activity_pattern	0.05584013	0.17687133	0.315710465907618	14	0.537735849056604	0.267866066966517	0.00943396226415094
EGR1	0.453	0.08	0.101	-0.755	activity_pattern	0.09112724	0.30027458	0.303479701811589	14	0.536326530612245	0.444277861069465	0.011428571428571
EGR3	0.354	0.051	0.079	-1.3	activity_pattern	0.12731691	0.03236265	3.93406936700178	13	0.502745098039216	0.457771114442779	0.00784313725490199
EP300	0.452	0.075	0.099	-0.873	activity_pattern	0.10980897	0.27287138	0.402420253820683	14	0.542976939203354	0.116941529235382	0.00279524807826703
EZH2	0.212	0.036	0.047	-0.824	activity_pattern	0.1295647	0.18974014	0.682853401499546	14	0.517345399698341	0.452773613193403	0.012066365007542
F7	0.464	0.133	0.103	1.042	activity_pattern	0.35389197	0.2046295	1.72942791728465	14	0.59921568627451	0.00199900049975013	0.00156862745098108
FBXL3	0.396	0.064	0.088	-0.967	activity_pattern	0.15851671	0.10238544	1.54823488574157	14	0.524886877828054	0.109445277361319	0.00452488687782804
FBXW11	0.344	0.057	0.076	-0.916	activity_pattern	0.12764239	0.03360222	3.79862967387274	12	0.52467343976778	0.168915542228886	0.0130624092888251
FBXW7	0.345	0.042	0.075	-1.609	activity_pattern	0.11332496	0.10094236	1.12267000692276	13	0.534680134680135	0.0819590204897551	0.00606060606060599
GFPT1	0.349	0.071	0.077	-0.272	activity_pattern	0.17098526	0.03325594	5.1414953238429	14	0.529699510831586	0.2023988005997	0.00489168413696695
GHRH	0.428	0.061	0.096	-1.312	activity_pattern	0.32543511	0.26496043	1.22824042065451	14	0.53469387755102	0.228385807096452	0.00816326530612199
GHRL	0.308	0.062	0.07	-0.394	activity_pattern	0.29103538	0.30883512	0.942364909793938	14	0.563367252543941	0.175412293853073	0.0333024976873271
GNA11	0.414	0.059	0.092	-1.335	activity_pattern	0.18225825	0.16110708	1.13128640901443	13	0.548571428571429	0.105947026486757	0.0106122448979601
GNAQ	0.417	0.055	0.096	-1.586	activity_pattern	0.12269384	0.09051747	1.35547138027609	13	0.53156146179402	0.281859070464768	0.022148394241417
GSK3B	0.179	0.02	0.039	-1.741	activity_pattern	0.08739062	0.11292882	0.773855779242181	13	0.542087542087542	0.0559720139930035	0.013468013468013
HCRTR2	0.479	0.07	0.106	-1.21	activity_pattern	0.22017312	0.1196887	1.83954809434809	14	0.53410740203193	0.108445777111444	0.000725689404934005
