Gene_symbol	Phenotype	ph	Ps	Pi	Theta	omega_M0	dN_tree	dS_tree	FDR_M1a_vs_M2a	Significant_M1a_vs_M2a_FDR05	Status_M1a_vs_M2a	omega_positive_M1a_vs_M2a	prop_sites_positive_M1a_vs_M2a	N_BEB_sites_P95_M1a_vs_M2a	N_BEB_sites_P99_M1a_vs_M2a	BEB_P99_gap_enrichment_M1a_vs_M2a	FDR_M7_vs_M8	Significant_M7_vs_M8_FDR05	Status_M7_vs_M8
AANAT	NREM ratio	NREM_ratio	0.522	0.079	0.122	0.17479	2.0446	11.6974	2.531e-28	YES	OK	11.646	0.14143	15	10	1.756			
ADCY1	NREM ratio	NREM_ratio	0.515	0.084	0.118	0.09086	1.2776	14.0619	1	NO	OK	1	0.11112	0	0	NA			
ADIPOQ	NREM ratio	NREM_ratio	0.35	0.069	0.08	0.25371	2.1716	8.5593	5.615e-18	YES	OK	3.9596	0.10172	10	5	2.019			
ADORA1	NREM ratio	NREM_ratio	0.177	0.039	0.041	0.05027	0.7936	15.7881	1	NO	OK	1	0.05913	0	0	NA			
ADORA2A	NREM ratio	NREM_ratio	0.288	0.072	0.068	0.09397	1.305	13.8869	1	NO	OK	1	0.13602	1	0	NA			
ADRB1	NREM ratio	NREM_ratio	0.422	0.075	0.107	0.09224	0.9492	10.2902	1	NO	OK	1	0.11137	2	0	NA			
AGRP	NREM ratio	NREM_ratio	0.445	0.068	0.102	0.24872	2.8139	11.3134	0.01526	YES	OK	3.6014	0.11814	0	0	NA			
AHR	NREM ratio	NREM_ratio	0.469	0.114	0.107	0.24526	2.1024	8.5721	1	NO	OK	1	0.11271	0	0	NA			
ARNTL	NREM ratio	NREM_ratio	0.366	0.068	0.084	0.07507	0.5449	7.2586	1	NO	OK	1	0.11045	0	0	NA			
ARNTL2	NREM ratio	NREM_ratio	0.481	0.087	0.114	0.29472	1.7057	5.7874	1	NO	OK	1	0.09738	2	1	0.714			
ATF4	NREM ratio	NREM_ratio	0.415	0.09	0.096	0.23131	1.7118	7.4004	1	NO	OK	1	0.12872	2	0	NA			
ATF5	NREM ratio	NREM_ratio	0.194	0.042	0.047	0.13532	0.7204	5.3239	0.1626	NO	OK	4.2634	0.00492	1	0	NA			
ATG7	NREM ratio	NREM_ratio	0.406	0.072	0.093	0.16274	1.3376	8.2191	4.847e-265	YES	OK	131.9473	0.14793	116	82	2.319			
ATOH7	NREM ratio	NREM_ratio	0.309	0.076	0.076	0.08691	1.028	11.8283	1	NO	OK	1	0.06438	0	0	NA			
BHLHE40	NREM ratio	NREM_ratio	0.496	0.063	0.115	0.12981	1.448	11.1547	1	NO	OK	1	0.19312	0	0	NA			
BHLHE41	NREM ratio	NREM_ratio	0.326	0.035	0.077	0.1752	1.9618	11.1978	1	NO	OK	1	0.04319	0	0	NA			
BTBD9	NREM ratio	NREM_ratio	0.291	0.048	0.067	0.0693	0.478	6.8973	1	NO	OK	1	0.13984	0	0	NA			
BTRC	NREM ratio	NREM_ratio	0.279	0.046	0.064	0.07579	0.3705	4.8892	4.996e-10	YES	OK	25.7441	0.02286	7	3	2.44			
CARTPT	NREM ratio	NREM_ratio	0.407	0.032	0.094	0.10385	1.9163	18.4529	1	NO	OK	1	0.03481	0	0	NA			
CAVIN3	NREM ratio	NREM_ratio	0.264	0.046	0.063	0.18508	1.55	8.3749	1	NO	OK	1	0.07593	3	0	NA			
CCAR2	NREM ratio	NREM_ratio	0.334	0.067	0.078	0.11952	0.7726	6.4645	1	NO	OK	1	0.1529	2	0	NA			
CDK1	NREM ratio	NREM_ratio	0.447	0.058	0.102	0.09776	0.7027	7.188	1.526e-24	YES	OK	19.9743	0.14407	33	7	2.31			
CHRNB2	NREM ratio	NREM_ratio	0.247	0.042	0.057	0.06538	0.8534	13.0525	1	NO	OK	58.709	0	3	1	1.329			
CIART	NREM ratio	NREM_ratio	0.328	0.051	0.08	0.42891	1.6833	3.9246	1	NO	OK	1	0.14112	1	0	NA			
CIPC	NREM ratio	NREM_ratio	0.502	0.111	0.116	0.18293	1.7954	9.8151	1	NO	OK	1	0.03679	3	1	7.683			
CLDN4	NREM ratio	NREM_ratio	0.173	0.035	0.041	0.07165	1.9057	26.5968	1	NO	OK	1	0.04262	0	0	NA			
CLOCK	NREM ratio	NREM_ratio	0.364	0.072	0.083	0.10221	0.6216	6.0818	1	NO	OK	1	0.05656	0	0	NA			
CPT1A	NREM ratio	NREM_ratio	0.415	0.108	0.095	0.07998	1.1372	14.2176	3.438e-10	YES	OK	39.7855	0.01464	3	0	NA			
CREB1	NREM ratio	NREM_ratio	0.269	0.049	0.062	0.03507	0.1281	3.6511	1	NO	OK	999	0	0	0	NA			
CREM	NREM ratio	NREM_ratio	0.396	0.051	0.091	0.20917	1.7922	8.5683	2.871e-18	YES	OK	4.8952	0.02529	7	5	0.226			
CRH	NREM ratio	NREM_ratio	0.441	0.094	0.104	0.20337	1.896	9.323	1	NO	OK	1	0.06284	0	0	NA			
CRTC1	NREM ratio	NREM_ratio	0.307	0.064	0.072	0.08154	1.0197	12.5057	1	NO	OK	1	0.05601	0	0	NA			
CRY1	NREM ratio	NREM_ratio	0.332	0.057	0.076	0.10014	0.6637	6.6278	1	NO	OK	1	0.10455	0	0	NA			
CRY2	NREM ratio	NREM_ratio	0.241	0.047	0.055	0.07721	0.6725	8.7097	1	NO	OK	1	0.13284	0	0	NA			
CSNK1D	NREM ratio	NREM_ratio	0.437	0.076	0.1	0.09259	1.0383	11.2136	1.911e-14	YES	OK	2.8825	0.06373	5	3	0.219			
CSNK1E	NREM ratio	NREM_ratio	0.309	0.053	0.071	0.06875	1.136	16.5246	1.981e-09	YES	OK	34.1959	0.02964	3	1	2.119			
DBP	NREM ratio	NREM_ratio	0.228	0.037	0.055	0.13677	1.4398	10.5277	1	NO	OK	1	0.04782	0	0	NA			
DRD2	NREM ratio	NREM_ratio	0.326	0.054	0.075	0.05641	0.6689	11.8591	1	NO	OK	1	0.07983	0	0	NA			
DRD3	NREM ratio	NREM_ratio	0.512	0.102	0.118	0.13508	1.056	7.8174	1	NO	OK	1	0.08857	1	0	NA			
DRD4	NREM ratio	NREM_ratio	0.409	0.083	0.1	0.13827	1.9126	13.8329	1	NO	OK	15.1965	0	0	0	NA			
DYRK1A	NREM ratio	NREM_ratio	0.229	0.039	0.053	0.03865	0.1453	3.7603	6.502e-29	YES	OK	30.1544	0.04666	14	9	6.017			
EGR1	NREM ratio	NREM_ratio	0.459	0.078	0.105	0.07095	0.7713	10.8706	1	NO	OK	1	0.12725	4	0	NA			
EGR3	NREM ratio	NREM_ratio	0.289	0.046	0.067	0.05142	0.4408	8.5721	1	NO	OK	1	0.10882	0	0	NA			
EP300	NREM ratio	NREM_ratio	0.288	0.062	0.066	0.08361	0.4692	5.6118	1	NO	OK	1	0.05408	0	0	NA			
EZH2	NREM ratio	NREM_ratio	0.139	0.029	0.032	0.05138	0.3982	7.75	5.001e-26	YES	OK	14.2146	0.0166	8	8	3.188			
F7	NREM ratio	NREM_ratio	0.486	0.127	0.113	0.21011	2.9193	13.894	2.302e-08	YES	OK	12.5935	0.02043	4	3	1.784			
FBXL3	NREM ratio	NREM_ratio	0.246	0.05	0.057	0.05432	0.2872	5.2868	2.32e-07	YES	OK	13.7279	0.01267	4	3	7.391			
FBXW11	NREM ratio	NREM_ratio	0.297	0.05	0.068	0.05438	0.3396	6.2442	1	NO	OK	1	0.12881	0	0	NA			
FBXW7	NREM ratio	NREM_ratio	0.238	0.035	0.054	0.11426	0.6942	6.0758	2.246e-40	YES	OK	16.3056	0.04489	20	13	3.578			
GFPT1	NREM ratio	NREM_ratio	0.308	0.063	0.07	0.03835	0.2797	7.2939	1	NO	OK	1	0.03213	7	3	3.358			
GHRH	NREM ratio	NREM_ratio	0.39	0.054	0.091	0.28557	3.1519	11.0373	0.5966	NO	OK	1.8598	0.06864	0	0	NA			
GHRL	NREM ratio	NREM_ratio	0.308	0.059	0.072	0.30639	2.5157	8.2111	1	NO	OK	1	0.07737	0	0	NA			
GNA11	NREM ratio	NREM_ratio	0.414	0.055	0.097	0.04211	0.9392	22.3021	1	NO	OK	1	0.00398	0	0	NA			
GNAQ	NREM ratio	NREM_ratio	0.253	0.037	0.062	0.0902	0.4215	4.6732	2.151e-10	YES	OK	165.4088	0.01583	1	0	NA			
GSK3B	NREM ratio	NREM_ratio	0.127	0.016	0.029	0.11245	0.4099	3.6452	1.111e-28	YES	OK	16.2783	0.05665	17	8	1.332			
HCRTR2	NREM ratio	NREM_ratio	0.299	0.054	0.069	0.08855	0.7651	8.6404	1	NO	OK	1	0.10967	0	0	NA			
HDAC1	NREM ratio	NREM_ratio	0.262	0.038	0.061	0.10056	0.8046	8.0013	8.984e-14	YES	OK	7.0163	0.04949	5	2	1.288			
HDAC2	NREM ratio	NREM_ratio	0.368	0.047	0.084	0.08046	0.6515	8.0978	2.899e-60	YES	OK	12.7884	0.13949	54	28	2.016			
HDAC3	NREM ratio	NREM_ratio	0.217	0.052	0.051	0.01044	0.0863	8.2701	1	NO	OK	1	0	0	0	NA			
HEBP1	NREM ratio	NREM_ratio	0.282	0.063	0.065	0.14448	1.5689	10.8584	1	NO	OK	1	0.0325	0	0	NA			
HNRNPD	NREM ratio	NREM_ratio	0.475	0.028	0.109	0.2223	0.9258	4.1645	3.129e-49	YES	OK	71.6587	0.13101	32	21	1.8			
HNRNPU	NREM ratio	NREM_ratio	0.325	0.053	0.075	0.0863	0.4899	5.6765	1	NO	OK	1	0.14135	0	0	NA			
HTR7	NREM ratio	NREM_ratio	0.345	0.061	0.08	0.08458	0.968	11.445	1.716e-48	YES	OK	5.7849	0.06024	18	17	2.019			
ID2	NREM ratio	NREM_ratio	0.24	0.02	0.055	0.10642	1.2954	12.1727	2.28e-07	YES	OK	5.227	0.12683	8	1	1.121			
ID3	NREM ratio	NREM_ratio	0.44	0.037	0.102	0.08438	1.3873	16.4416	8.075e-15	YES	OK	9.6984	0.32905	30	13	1.371			
ID4	NREM ratio	NREM_ratio	0.179	0.02	0.043	0.10274	1.5322	14.9139	1	NO	OK	1	0.2277	0	0	NA			
KCNA2	NREM ratio	NREM_ratio	0.398	0.08	0.092	0.05883	0.4573	7.7718	1	NO	OK	1	0.00552	0	0	NA			
KCNH7	NREM ratio	NREM_ratio	0.28	0.054	0.064	0.09002	0.4949	5.4974	1	NO	OK	1	0.08616	0	0	NA			
KDM5A	NREM ratio	NREM_ratio	0.29	0.055	0.066	0.06379	0.5333	8.3604	1	NO	OK	1	0.03785	10	2	2.835			
KLF10	NREM ratio	NREM_ratio	0.494	0.108	0.114	0.18267	1.5795	8.6472	1	NO	OK	1	0.04813	1	0	NA			
KLF9	NREM ratio	NREM_ratio	0.115	0.02	0.027	0.05985	0.378	6.3153	1	NO	OK	6.9704	0	0	0	NA			
LEP	NREM ratio	NREM_ratio	0.426	0.079	0.101	0.34159	2.2429	6.566	5.016e-28	YES	OK	121.8064	0.10103	10	6	4.08			
LGR4	NREM ratio	NREM_ratio	0.444	0.084	0.102	0.11189	0.9316	8.326	1	NO	OK	1	0.10366	0	0	NA			
