Gene	Ps	Pi	Theta	TajimasD	Phenotype	dN	dS	dN_dS	Cluster	purity_score	p_value	DiffChange	FDR
AANAT	0.626	0.094	0.135	-1.1	Total_sleep	0.1704506	0.5062535	0.336690215475054	2	0.767857142857143	0.482758620689655		1
ADCY1	0.602	0.096	0.127	-0.873	Total_sleep	0.15397345	0.37114284	0.414863048415537	2	0.757575757575758	0.485714285714286		1
ADIPOQ	0.485	0.077	0.103	-0.885	Total_sleep	0.15661385	0.52451868	0.298585838735048	2	0.772727272727273	0.470588235294118		1
ADORA1	0.29	0.048	0.062	-0.781	Total_sleep	0.18971993	0.16214029	1.17009738911902	3	0.766666666666667	0.483870967741936	0.266666666666667	1
ADORA2A	0.449	0.085	0.096	-0.421	Total_sleep	0.17059604	0.25381999	0.672114280675844	10	0.794871794871795	0.00331386725991842	0.0448717948717951	0.473883018168334
ADRB1	0.553	0.09	0.127	-1.073	Total_sleep	0.18640294	0.20660429	0.902222020656009	12	0.933333333333333	0.000211089220377146	0.050980392156862	0.0301857585139319
AGRP	0.468	0.07	0.1	-1.061	Total_sleep	0.2896233	0.19960102	1.45101112208745	8	0.775862068965517	0.225806451612903	0.091954022988506	1
AHR	0.609	0.126	0.129	-0.078	Total_sleep	0.26004645	0.22704895	1.14533209688924	13	0.796296296296296	0.00804220970418707	0.044973544973545	1
ARNTL	0.534	0.083	0.113	-0.953	Total_sleep	0.11044177	0.27140883	0.406920327536875	3	0.772727272727273	0.228571428571429	0.515584415584416	1
ARNTL2	0.582	0.106	0.126	-0.559	Total_sleep	0.1510938	0.36122284	0.418284181587189	3	0.758620689655172	0.483870967741936	0.50055617352614	1
ATF4	0.554	0.104	0.118	-0.448	Total_sleep	0.27344469	0.17506488	1.56196199945986	2	0.772727272727273	0.470588235294118		1
ATF5	0.447	0.061	0.1	-1.452	Total_sleep	0.25379494	0.17027111	1.4905343601742	11	0.85	0.00401337792642141	0.031818181818182	0.573913043478262
ATG7	0.53	0.085	0.111	-0.83	Total_sleep	0.15732314	0.32038062	0.491050738337419	3	0.764705882352941	0.485714285714286	0.264705882352941	1
ATOH7	0.431	0.1	0.095	0.181	Total_sleep	0.29868847	0.29918957	0.998325142149842	7	0.8125	0.034920634920635	0.108152173913043	1
BHLHE40	0.583	0.077	0.124	-1.359	Total_sleep	0.23742193	0.21884678	1.08487741971803	10	0.803571428571429	0.0184042875922743	0.017857142857143	1
BHLHE41	0.386	0.042	0.083	-1.779	Total_sleep	0.16071957	0.27683602	0.580558736540137	3	0.775862068965517	0.466666666666667	0.50919540229885	1
BTBD9	0.436	0.066	0.092	-1.014	Total_sleep	0.20183251	0.1284484	1.57131198208775	3	0.764705882352941	0.485714285714286	0.264705882352941	1
BTRC	0.346	0.05	0.074	-1.132	Total_sleep	0.1343159	0.05225508	2.57038932865475	10	0.807692307692308	0.00723025583982201	0.0113960113960121	1
CARTPT	0.415	0.034	0.089	-2.213	Total_sleep	0.17384888	0.30293298	0.573885616547924	6	0.8	0.0833944281524927	0.258333333333333	1
CAVIN3	0.462	0.058	0.101	-1.564	Total_sleep	0.18427201	0.2181333	0.84476790109534	4	0.775862068965517	0.466666666666667	0.244612068965517	1
CCAR2	0.508	0.086	0.109	-0.741	Total_sleep	0.16771195	0.26285427	0.638041565769504	2	0.772727272727273	0.470588235294118		1
CDK1	0.471	0.074	0.099	-0.887	Total_sleep	0.04551511	0.61558687	0.0739377530908026	3	0.764705882352941	0.485714285714286	0.264705882352941	1
CHRNB2	0.321	0.046	0.069	-1.188	Total_sleep	0.06180491	0.40956912	0.15090227017115	3	0.766666666666667	0.483870967741936	0.266666666666667	1
CIART	0.498	0.069	0.11	-1.356	Total_sleep	0.22658951	0.32909526	0.688522557268069	7	0.807692307692308	0.0365261813537676	0.021978021978022	1
CIPC	0.68	0.136	0.144	-0.206	Total_sleep	0.31899599	0.26921916	1.1848933411723	2	0.765625	0.484848484848485		1
CLDN4	0.241	0.04	0.053	-0.825	Total_sleep	0.21458289	0.23408398	0.916691906895978	2	0.767857142857143	0.482758620689655		1
CLOCK	0.582	0.093	0.122	-0.857	Total_sleep	0.19323271	0.15762326	1.22591494427916	3	0.764705882352941	0.485714285714286	0.264705882352941	1
CPT1A	0.56	0.121	0.118	0.073	Total_sleep	0.16715953	0.4458412	0.374930647952679	3	0.757575757575758	0.485714285714286	0.500432900432901	1
CREB1	0.503	0.068	0.106	-1.263	Total_sleep	0.14166534	0.11443114	1.23799640552388	3	0.764705882352941	0.485714285714286	0.264705882352941	1
CREM	0.516	0.065	0.109	-1.423	Total_sleep	0.19178078	0.16330202	1.17439318876766	4	0.764705882352941	0.485714285714286	0.507563025210084	1
CRH	0.665	0.105	0.147	-1.054	Total_sleep	0.21033644	0.32885514	0.639602105656612	2	0.759259259259259	1		1
